All-Genes	Genes in same transcription unit	Accession-1	Left-End-Position	Right-End-Position	Product	Regulation - transcription factor regulators of gene	Common-Name
XNR_RS03785	XNR_RS03785	XNR_RS03785	900936	901337	hypothetical protein		
XNR_RS03790	XNR_RS03790	XNR_RS03790	901380	901997	hypothetical protein		
XNR_RS03795	XNR_RS03795	XNR_RS03795	902047	903609	glycosyltransferase family 39 protein		
XNR_RS03800	XNR_RS03800	XNR_RS03800	903720	905237	amino acid permease		
XNR_RS03805	XNR_RS03805	XNR_RS03805	905357	907282	1-deoxy-D-xylulose-5-phosphate synthase		
XNR_RS03810	XNR_RS03815 // XNR_RS03810	XNR_RS03810	907610	908977	ABC transporter permease		
XNR_RS03815	XNR_RS03815 // XNR_RS03810	XNR_RS03815	908974	909753	sugar ABC transporter ATP-binding protein		
XNR_RS03820	XNR_RS03820	XNR_RS03820	910077	911162	substrate-binding domain-containing protein		
XNR_RS03825	XNR_RS03825	XNR_RS03825	911284	912483	ROK family transcriptional regulator		
XNR_RS03830	XNR_RS03835 // XNR_RS03830	XNR_RS03830	912717	913658	carbohydrate ABC transporter permease		
XNR_RS03835	XNR_RS03835 // XNR_RS03830	XNR_RS03835	913660	914583	sugar ABC transporter permease		
XNR_RS03850	XNR_RS03850	XNR_RS03850	919710	920942	hypothetical protein		
XNR_RS03855	XNR_RS03855	XNR_RS03855	921119	921625	CGNR zinc finger domain-containing protein		
XNR_RS03860	XNR_RS03860	XNR_RS03860	921697	922392	hypothetical protein		
XNR_RS03865	XNR_RS03865	XNR_RS03865	922404	922976	HXXEE domain-containing protein		
XNR_RS03870	XNR_RS03870	XNR_RS03870	923125	924654	UDP-N-acetylglucosamine 1-carboxyvinyltransferase		
XNR_RS03900	XNR_RS03900	XNR_RS03900	929808	932540	CRISPR-associated endonuclease Cas3''		
XNR_RS03905	XNR_RS03905	XNR_RS03905	933027	935291	hypothetical protein		
XNR_RS03910	XNR_RS03930 // XNR_RS03925 // XNR_RS03920 // XNR_RS03915 // XNR_RS03910	XNR_RS03910	935497	936147	hypothetical protein		
XNR_RS03915	XNR_RS03930 // XNR_RS03925 // XNR_RS03920 // XNR_RS03915 // XNR_RS03910	XNR_RS03915	936147	936800	hypothetical protein		
XNR_RS03920	XNR_RS03930 // XNR_RS03925 // XNR_RS03920 // XNR_RS03915 // XNR_RS03910	XNR_RS03920	936797	937639	ABC transporter ATP-binding protein		
XNR_RS03925	XNR_RS03930 // XNR_RS03925 // XNR_RS03920 // XNR_RS03915 // XNR_RS03910	XNR_RS03925	937627	938709	iron ABC transporter permease		
XNR_RS03930	XNR_RS03930 // XNR_RS03925 // XNR_RS03920 // XNR_RS03915 // XNR_RS03910	XNR_RS03930	938690	939826	ABC transporter substrate-binding protein		
XNR_RS03935	XNR_RS03935	XNR_RS03935	939876	940334	STAS domain-containing protein		
XNR_RS03940	XNR_RS03940	XNR_RS03940	940474	941607	ANTAR domain-containing protein		
XNR_RS03945	XNR_RS03945	XNR_RS03945	941718	942437	GAF and ANTAR domain-containing protein		
XNR_RS03950	XNR_RS03950	XNR_RS03950	942703	943959	arginine deiminase		
XNR_RS03955	XNR_RS03980 // XNR_RS03975 // XNR_RS03970 // XNR_RS03965 // XNR_RS03960 // XNR_RS03955	XNR_RS03955	943996	944445	monovalent cation/H(+) antiporter subunit G		
XNR_RS03960	XNR_RS03980 // XNR_RS03975 // XNR_RS03970 // XNR_RS03965 // XNR_RS03960 // XNR_RS03955	XNR_RS03960	944442	944771	membrane protein		
XNR_RS03965	XNR_RS03980 // XNR_RS03975 // XNR_RS03970 // XNR_RS03965 // XNR_RS03960 // XNR_RS03955	XNR_RS03965	944768	945373	Na+/H+ antiporter subunit E		
XNR_RS03970	XNR_RS03980 // XNR_RS03975 // XNR_RS03970 // XNR_RS03965 // XNR_RS03960 // XNR_RS03955	XNR_RS03970	945370	947028	Na+/H+ antiporter subunit D		
XNR_RS03975	XNR_RS03980 // XNR_RS03975 // XNR_RS03970 // XNR_RS03965 // XNR_RS03960 // XNR_RS03955	XNR_RS03975	947025	948131	Na(+)/H(+) antiporter subunit C		
XNR_RS03980	XNR_RS03980 // XNR_RS03975 // XNR_RS03970 // XNR_RS03965 // XNR_RS03960 // XNR_RS03955	XNR_RS03980	948128	951070	Na+/H+ antiporter subunit A		
XNR_RS03985	XNR_RS03995 // XNR_RS03990 // XNR_RS03985	XNR_RS03985	951206	952453	cytochrome P450		
XNR_RS03990	XNR_RS03995 // XNR_RS03990 // XNR_RS03985	XNR_RS03990	952450	953706	cytochrome P450		
XNR_RS03995	XNR_RS03995 // XNR_RS03990 // XNR_RS03985	XNR_RS03995	953703	954317	ATP/GTP-binding protein		
XNR_RS04000	XNR_RS04010 // XNR_RS04005 // XNR_RS04000	XNR_RS04000	954295	954657	DUF742 domain-containing protein		
XNR_RS04005	XNR_RS04010 // XNR_RS04005 // XNR_RS04000	XNR_RS04005	954654	955064	roadblock/LC7 domain-containing protein		
XNR_RS04010	XNR_RS04010 // XNR_RS04005 // XNR_RS04000	XNR_RS04010	955067	956584	sensor histidine kinase		
XNR_RS04015	XNR_RS04015	XNR_RS04015	957402	957851	ATP-binding protein		
XNR_RS04020	XNR_RS04020	XNR_RS04020	957799	959256	amino acid permease		
XNR_RS04030	XNR_RS04030 // argF	XNR_RS04030	960549	961787	arginine deiminase		
XNR_RS04040	XNR_RS04040	XNR_RS04040	963012	963218	hypothetical protein		
XNR_RS04045	XNR_RS04045	XNR_RS04045	963276	963608	glyoxalase		
XNR_RS04050	XNR_RS04055 // XNR_RS04050	XNR_RS04050	963873	966452	polynucleotide kinase-phosphatase		
XNR_RS04055	XNR_RS04055 // XNR_RS04050	XNR_RS04055	966449	967987	3' terminal RNA ribose 2'-O-methyltransferase Hen1		
XNR_RS04060	XNR_RS04060	XNR_RS04060	968053	968562	NUDIX hydrolase		
XNR_RS04065	XNR_RS04065	XNR_RS04065	968696	969619	LLM class F420-dependent oxidoreductase		
XNR_RS04070	XNR_RS04070	XNR_RS04070	969706	970185	hypothetical protein		
XNR_RS04075	XNR_RS04080 // XNR_RS04075	XNR_RS04075	970458	970853	nucleotide pyrophosphohydrolase		
XNR_RS04080	XNR_RS04080 // XNR_RS04075	XNR_RS04080	970865	972184	hypothetical protein		
XNR_RS04085	XNR_RS04085	XNR_RS04085	972307	972693	cell division protein SepF		
XNR_RS04090	XNR_RS04090	XNR_RS04090	972879	973202	hypothetical protein		
XNR_RS04095	XNR_RS04095	XNR_RS04095	973255	975636	phosphoketolase family protein		
XNR_RS04100	XNR_RS04100	XNR_RS04100	975707	976477	ATP-binding protein		
XNR_RS04105	XNR_RS04105	XNR_RS04105	976617	977090	hypothetical protein		
XNR_RS04110	XNR_RS04120 // XNR_RS04115 // XNR_RS04110	XNR_RS04110	977318	977947	LUD domain-containing protein		
XNR_RS04115	XNR_RS04120 // XNR_RS04115 // XNR_RS04110	XNR_RS04115	977944	979512	iron-sulfur cluster-binding protein		
XNR_RS04120	XNR_RS04120 // XNR_RS04115 // XNR_RS04110	XNR_RS04120	979509	980276	(Fe-S)-binding protein		
XNR_RS04125	XNR_RS04125	XNR_RS04125	980488	982161	L-lactate permease		
XNR_RS04130	XNR_RS04130	XNR_RS04130	982321	983064	FadR family transcriptional regulator		
XNR_RS04135	XNR_RS04135	XNR_RS04135	983186	985522	pyruvate dehydrogenase E1		
XNR_RS04140	XNR_RS04145 // XNR_RS04140	XNR_RS04140	985722	986219	Lrp/AsnC family transcriptional regulator		
XNR_RS04145	XNR_RS04145 // XNR_RS04140	XNR_RS04145	986216	987046	endo alpha-1,4 polygalactosaminidase		
XNR_RS04150	XNR_RS04150	XNR_RS04150	987259	987978	chitinase		
XNR_RS04155	XNR_RS04155	XNR_RS04155	987988	988440	pyridoxamine 5'-phosphate oxidase family protein		
XNR_RS04160	XNR_RS04160	XNR_RS04160	988658	989179	hypothetical protein		
XNR_RS04165	XNR_RS04165	XNR_RS04165	989364	990077	response regulator transcription factor		
XNR_RS04170	XNR_RS04170	XNR_RS04170	990114	991967	GAF domain-containing protein		
XNR_RS04180	rpmG // XNR_RS04180	XNR_RS04180	994163	994729	hypothetical protein		
XNR_RS04190	XNR_RS04190	XNR_RS04190	995058	995717	TetR family transcriptional regulator		
XNR_RS04195	XNR_RS04195	XNR_RS04195	995970	997595	MFS transporter		
XNR_RS04200	XNR_RS04215 // XNR_RS04210 // XNR_RS04205 // XNR_RS04200	XNR_RS04200	997854	998741	ABC transporter ATP-binding protein		
XNR_RS04205	XNR_RS04215 // XNR_RS04210 // XNR_RS04205 // XNR_RS04200	XNR_RS04205	998738	999820	iron chelate uptake ABC transporter family permease subunit		
XNR_RS04210	XNR_RS04215 // XNR_RS04210 // XNR_RS04205 // XNR_RS04200	XNR_RS04210	999817	1000857	iron chelate uptake ABC transporter family permease subunit		
XNR_RS04215	XNR_RS04215 // XNR_RS04210 // XNR_RS04205 // XNR_RS04200	XNR_RS04215	1000874	1001917	iron-siderophore ABC transporter substrate-binding protein		
XNR_RS04220	XNR_RS04220	XNR_RS04220	1002328	1002756	helix-turn-helix transcriptional regulator		
XNR_RS04225	XNR_RS04225	XNR_RS04225	1002779	1003327	Sodium/calcium exchanger membrane region		
XNR_RS04230	XNR_RS04230	XNR_RS04230	1003488	1004087	helix-turn-helix transcriptional regulator		
XNR_RS04235	XNR_RS04250 // XNR_RS04245 // XNR_RS04240 // XNR_RS04235	XNR_RS04235	1004138	1006009	ABC transporter ATP-binding protein		
XNR_RS04240	XNR_RS04250 // XNR_RS04245 // XNR_RS04240 // XNR_RS04235	XNR_RS04240	1006009	1006839	ABC transporter permease		
XNR_RS04245	XNR_RS04250 // XNR_RS04245 // XNR_RS04240 // XNR_RS04235	XNR_RS04245	1006836	1007864	ABC transporter permease		
XNR_RS04250	XNR_RS04250 // XNR_RS04245 // XNR_RS04240 // XNR_RS04235	XNR_RS04250	1007861	1009948	S9 family peptidase		
XNR_RS04255	XNR_RS04255	XNR_RS04255	1010040	1011662	ABC transporter substrate-binding protein		
XNR_RS04260	XNR_RS04260	XNR_RS04260	1011920	1013371	amidase		
XNR_RS04265	XNR_RS04265	XNR_RS04265	1013505	1014131	TetR/AcrR family transcriptional regulator		
XNR_RS04270	XNR_RS04270	XNR_RS04270	1014190	1014960	class I SAM-dependent methyltransferase		
XNR_RS04275	XNR_RS04285 // XNR_RS04280 // XNR_RS04275	XNR_RS04275	1015051	1016322	sulfite oxidase		
XNR_RS04280	XNR_RS04285 // XNR_RS04280 // XNR_RS04275	XNR_RS04280	1016351	1017514	homoserine O-acetyltransferase		
XNR_RS04285	XNR_RS04285 // XNR_RS04280 // XNR_RS04275	XNR_RS04285	1017529	1018866	bifunctional o-acetylhomoserine/o-acetylserine sulfhydrylase		
XNR_RS04290	XNR_RS04290	XNR_RS04290	1019154	1020455	ATP-grasp domain-containing protein		
XNR_RS04295	XNR_RS04295	XNR_RS04295	1020515	1022545	CocE/NonD family hydrolase		
XNR_RS04300	XNR_RS04300	XNR_RS04300	1022555	1023973	MFS transporter		
XNR_RS04305	XNR_RS04305	XNR_RS04305	1024030	1024761	TetR/AcrR family transcriptional regulator		
XNR_RS04310	XNR_RS04310	XNR_RS04310	1024811	1026931	SDR family NAD(P)-dependent oxidoreductase		
XNR_RS04315	XNR_RS04315	XNR_RS04315	1027329	1028930	alkaline phosphatase D family protein		
XNR_RS04320	XNR_RS04320	XNR_RS04320	1029008	1029742	hypothetical protein		
XNR_RS04325	XNR_RS04325	XNR_RS04325	1029944	1030393	PaaI family thioesterase		
XNR_RS04330	XNR_RS04330	XNR_RS04330	1030502	1031446	DMT family transporter		
XNR_RS04335	XNR_RS04335	XNR_RS04335	1031537	1032757	erythromycin esterase family protein		
XNR_RS04340	XNR_RS04340	XNR_RS04340	1032827	1033567	MerR family DNA-binding transcriptional regulator		
XNR_RS04345	XNR_RS04345	XNR_RS04345	1033820	1034548	winged helix-turn-helix transcriptional regulator		
XNR_RS04350	XNR_RS04350	XNR_RS04350	1034632	1035183	hypothetical protein		
XNR_RS04355	XNR_RS04355	XNR_RS04355	1035377	1036318	SDR family oxidoreductase		
XNR_RS04360	XNR_RS04360	XNR_RS04360	1036419	1037396	PRC and DUF2382 domain-containing protein		
XNR_RS04370	XNR_RS04370	XNR_RS04370	1040481	1041767	MFS transporter		
XNR_RS04375	XNR_RS04375	XNR_RS04375	1041855	1042835	winged helix-turn-helix transcriptional regulator		
XNR_RS04380	XNR_RS04380	XNR_RS04380	1042952	1044148	FAD-dependent monooxygenase		
XNR_RS04390	XNR_RS04390	XNR_RS04390	1044805	1047006	discoidin domain-containing protein		
XNR_RS04395	XNR_RS04395	XNR_RS04395	1047083	1049347	copper-translocating P-type ATPase		
XNR_RS04400	XNR_RS04400	XNR_RS04400	1049528	1049716	hypothetical protein		
XNR_RS04405	XNR_RS04405	XNR_RS04405	1049785	1051701	right-handed parallel beta-helix repeat-containing protein		
XNR_RS04410	XNR_RS04410	XNR_RS04410	1051990	1053150	DUF839 domain-containing protein		
XNR_RS04415	XNR_RS04415	XNR_RS04415	1053506	1055245	stealth conserved region 3 domain-containing protein		
XNR_RS04420	XNR_RS04420	XNR_RS04420	1055221	1055814	TetR family transcriptional regulator		
XNR_RS04425	XNR_RS04425	XNR_RS04425	1055966	1057225	MFS transporter		
XNR_RS04430	XNR_RS04430	XNR_RS04430	1057301	1060429	ThuA domain-containing protein		
XNR_RS04435	XNR_RS04455 // XNR_RS04450 // XNR_RS04445 // XNR_RS04440 // XNR_RS04435	XNR_RS04435	1060578	1061450	sugar phosphate isomerase/epimerase		
XNR_RS04440	XNR_RS04455 // XNR_RS04450 // XNR_RS04445 // XNR_RS04440 // XNR_RS04435	XNR_RS04440	1061447	1062658	substrate-binding domain-containing protein		
XNR_RS04445	XNR_RS04455 // XNR_RS04450 // XNR_RS04445 // XNR_RS04440 // XNR_RS04435	XNR_RS04445	1062655	1063689	ABC transporter permease		
XNR_RS04450	XNR_RS04455 // XNR_RS04450 // XNR_RS04445 // XNR_RS04440 // XNR_RS04435	XNR_RS04450	1063686	1064705	ABC transporter permease		
XNR_RS04455	XNR_RS04455 // XNR_RS04450 // XNR_RS04445 // XNR_RS04440 // XNR_RS04435	XNR_RS04455	1064702	1066198	sugar ABC transporter ATP-binding protein		
XNR_RS04460	XNR_RS04460	XNR_RS04460	1066366	1067562	ROK family transcriptional regulator		
XNR_RS04465	XNR_RS04465	XNR_RS04465	1067769	1068770	asparaginase		
XNR_RS04470	XNR_RS04470	XNR_RS04470	1068850	1069731	polysaccharide deacetylase		
XNR_RS04475	XNR_RS04495 // XNR_RS04490 // XNR_RS04485 // XNR_RS04480 // XNR_RS04475	XNR_RS04475	1069747	1070520	SDR family oxidoreductase		
XNR_RS04480	XNR_RS04495 // XNR_RS04490 // XNR_RS04485 // XNR_RS04480 // XNR_RS04475	XNR_RS04480	1070517	1070939	cupin domain-containing protein		
XNR_RS04485	XNR_RS04495 // XNR_RS04490 // XNR_RS04485 // XNR_RS04480 // XNR_RS04475	XNR_RS04485	1070980	1071759	SDR family oxidoreductase		
XNR_RS04490	XNR_RS04495 // XNR_RS04490 // XNR_RS04485 // XNR_RS04480 // XNR_RS04475	XNR_RS04490	1071756	1072268	hypothetical protein		
XNR_RS04495	XNR_RS04495 // XNR_RS04490 // XNR_RS04485 // XNR_RS04480 // XNR_RS04475	XNR_RS04495	1072265	1072930	SDR family NAD(P)-dependent oxidoreductase		
XNR_RS04500	XNR_RS04500	XNR_RS04500	1072983	1073999	zinc-dependent alcohol dehydrogenase family protein		
XNR_RS04505	XNR_RS04505	XNR_RS04505	1074146	1075033	helix-turn-helix domain-containing protein		
XNR_RS04510	XNR_RS04510	XNR_RS04510	1075064	1075855	SDR family oxidoreductase		
XNR_RS04515	XNR_RS04515	XNR_RS04515	1075986	1076741	ATP nucleotide 3'-pyrophosphokinase		
XNR_RS04520	XNR_RS04520	XNR_RS04520	1076846	1078360	hypothetical protein		
XNR_RS04525	XNR_RS04525	XNR_RS04525	1078477	1078941	SRPBCC domain-containing protein		
XNR_RS04530	XNR_RS04535 // XNR_RS04530	XNR_RS04530	1079098	1080228	glutathione-independent formaldehyde dehydrogenase		
XNR_RS04535	XNR_RS04535 // XNR_RS04530	XNR_RS04535	1080255	1080641	hypothetical protein		
XNR_RS04540	XNR_RS04550 // XNR_RS04545 // XNR_RS04540	XNR_RS04540	1080851	1082057	transposase		
XNR_RS04545	XNR_RS04550 // XNR_RS04545 // XNR_RS04540	XNR_RS04545	1082063	1083166	isocitrate dehydrogenase		
XNR_RS04550	XNR_RS04550 // XNR_RS04545 // XNR_RS04540	XNR_RS04550	1083202	1083735	EF-hand domain-containing protein		
XNR_RS04555	XNR_RS04555	XNR_RS04555	1083949	1085166	MFS transporter		
XNR_RS04560	XNR_RS04560	XNR_RS04560	1085231	1086064	aldo/keto reductase		
XNR_RS04565	XNR_RS04570 // XNR_RS04565	XNR_RS04565	1086085	1087311	lytic murein transglycosylase		
XNR_RS04570	XNR_RS04570 // XNR_RS04565	XNR_RS04570	1087347	1088078	hypothetical protein		
XNR_RS04575	XNR_RS04630 // XNR_RS04625 // XNR_RS04620 // XNR_RS04615 // XNR_RS04610 // XNR_RS04605 // XNR_RS04600 // XNR_RS04595 // XNR_RS04590 // XNR_RS04585 // XNR_RS04580 // XNR_RS04575	XNR_RS04575	1088123	1088668	nuclear transport factor 2 family protein		
XNR_RS04580	XNR_RS04630 // XNR_RS04625 // XNR_RS04620 // XNR_RS04615 // XNR_RS04610 // XNR_RS04605 // XNR_RS04600 // XNR_RS04595 // XNR_RS04590 // XNR_RS04585 // XNR_RS04580 // XNR_RS04575	XNR_RS04580	1088695	1089342	nuclear transport factor 2 family protein		
XNR_RS04585	XNR_RS04630 // XNR_RS04625 // XNR_RS04620 // XNR_RS04615 // XNR_RS04610 // XNR_RS04605 // XNR_RS04600 // XNR_RS04595 // XNR_RS04590 // XNR_RS04585 // XNR_RS04580 // XNR_RS04575	XNR_RS04585	1089342	1089887	hypothetical protein		
XNR_RS04590	XNR_RS04630 // XNR_RS04625 // XNR_RS04620 // XNR_RS04615 // XNR_RS04610 // XNR_RS04605 // XNR_RS04600 // XNR_RS04595 // XNR_RS04590 // XNR_RS04585 // XNR_RS04580 // XNR_RS04575	XNR_RS04590	1089884	1091158	MCE family protein		
XNR_RS04595	XNR_RS04630 // XNR_RS04625 // XNR_RS04620 // XNR_RS04615 // XNR_RS04610 // XNR_RS04605 // XNR_RS04600 // XNR_RS04595 // XNR_RS04590 // XNR_RS04585 // XNR_RS04580 // XNR_RS04575	XNR_RS04595	1091155	1092438	MCE family protein		
XNR_RS04600	XNR_RS04630 // XNR_RS04625 // XNR_RS04620 // XNR_RS04615 // XNR_RS04610 // XNR_RS04605 // XNR_RS04600 // XNR_RS04595 // XNR_RS04590 // XNR_RS04585 // XNR_RS04580 // XNR_RS04575	XNR_RS04600	1092435	1093460	MCE family protein		
XNR_RS04605	XNR_RS04630 // XNR_RS04625 // XNR_RS04620 // XNR_RS04615 // XNR_RS04610 // XNR_RS04605 // XNR_RS04600 // XNR_RS04595 // XNR_RS04590 // XNR_RS04585 // XNR_RS04580 // XNR_RS04575	XNR_RS04605	1093457	1094503	MCE family protein		
XNR_RS04610	XNR_RS04630 // XNR_RS04625 // XNR_RS04620 // XNR_RS04615 // XNR_RS04610 // XNR_RS04605 // XNR_RS04600 // XNR_RS04595 // XNR_RS04590 // XNR_RS04585 // XNR_RS04580 // XNR_RS04575	XNR_RS04610	1094500	1095555	MCE family protein		
XNR_RS04615	XNR_RS04630 // XNR_RS04625 // XNR_RS04620 // XNR_RS04615 // XNR_RS04610 // XNR_RS04605 // XNR_RS04600 // XNR_RS04595 // XNR_RS04590 // XNR_RS04585 // XNR_RS04580 // XNR_RS04575	XNR_RS04615	1095552	1096805	MCE family protein		
XNR_RS04620	XNR_RS04630 // XNR_RS04625 // XNR_RS04620 // XNR_RS04615 // XNR_RS04610 // XNR_RS04605 // XNR_RS04600 // XNR_RS04595 // XNR_RS04590 // XNR_RS04585 // XNR_RS04580 // XNR_RS04575	XNR_RS04620	1096807	1097613	ABC transporter permease		
XNR_RS04625	XNR_RS04630 // XNR_RS04625 // XNR_RS04620 // XNR_RS04615 // XNR_RS04610 // XNR_RS04605 // XNR_RS04600 // XNR_RS04595 // XNR_RS04590 // XNR_RS04585 // XNR_RS04580 // XNR_RS04575	XNR_RS04625	1097621	1098385	ABC transporter permease		
XNR_RS04630	XNR_RS04630 // XNR_RS04625 // XNR_RS04620 // XNR_RS04615 // XNR_RS04610 // XNR_RS04605 // XNR_RS04600 // XNR_RS04595 // XNR_RS04590 // XNR_RS04585 // XNR_RS04580 // XNR_RS04575	XNR_RS04630	1098382	1099392	ATP-binding cassette domain-containing protein		
XNR_RS04635	XNR_RS04635	XNR_RS04635	1100149	1100784	hypothetical protein		
XNR_RS04640	XNR_RS04640	XNR_RS04640	1100872	1101504	hypothetical protein		
XNR_RS04645	XNR_RS04645	XNR_RS04645	1101605	1103089	hypothetical protein		
XNR_RS04650	XNR_RS04650	XNR_RS04650	1103137	1104084	hypothetical protein		
XNR_RS04655	XNR_RS04655	XNR_RS04655	1104309	1105520	helix-turn-helix domain-containing protein		
XNR_RS04660	XNR_RS04660	XNR_RS04660	1106644	1107213	SMI1/KNR4 family protein		
XNR_RS04665	XNR_RS04665	XNR_RS04665	1107365	1108333	LysR family transcriptional regulator		
XNR_RS04670	XNR_RS04670	XNR_RS04670	1108373	1109296	serine hydrolase		
XNR_RS04675	XNR_RS04675	XNR_RS04675	1109443	1110396	MBL fold metallo-hydrolase		
XNR_RS04680	XNR_RS04680	XNR_RS04680	1110708	1111049	hypothetical protein		
XNR_RS04685	XNR_RS04685	XNR_RS04685	1111311	1111928	TetR/AcrR family transcriptional regulator		
XNR_RS04690	XNR_RS04695 // XNR_RS04690	XNR_RS04690	1111995	1112900	SDR family NAD(P)-dependent oxidoreductase		
XNR_RS04695	XNR_RS04695 // XNR_RS04690	XNR_RS04695	1112915	1113859	SDR family NAD(P)-dependent oxidoreductase		
XNR_RS04700	XNR_RS04700	XNR_RS04700	1114055	1117795	CHAT domain-containing protein		
XNR_RS04705	XNR_RS04705	XNR_RS04705	1118026	1118610	TerD family protein		
XNR_RS04710	XNR_RS04710	XNR_RS04710	1118732	1119601	LLM class flavin-dependent oxidoreductase		
XNR_RS04715	XNR_RS04715	XNR_RS04715	1119723	1121648	glycoside hydrolase family 15 protein		
XNR_RS04720	XNR_RS04720	XNR_RS04720	1121959	1122744	SAM-dependent methyltransferase		
XNR_RS04725	XNR_RS04725	XNR_RS04725	1122912	1124363	WGR domain-containing protein		
XNR_RS04730	XNR_RS04730	XNR_RS04730	1124533	1125033	nucleoside deaminase		
XNR_RS04735	XNR_RS04735	XNR_RS04735	1125502	1126464	M28 family peptidase		
XNR_RS04740	XNR_RS04740	XNR_RS04740	1126653	1128101	glyceraldehyde-3-phosphate dehydrogenase		
XNR_RS04755	XNR_RS04760 // XNR_RS04755	XNR_RS04755	1129455	1130885	purine permease		
XNR_RS04760	XNR_RS04760 // XNR_RS04755	XNR_RS04760	1130903	1132306	amidohydrolase		
XNR_RS04765	XNR_RS04765	XNR_RS04765	1132401	1133414	isopenicillin N synthase family oxygenase		
XNR_RS04790	XNR_RS04790 // urtD // urtC // urtB // urtA	XNR_RS04790	1137989	1138687	ATP-binding cassette domain-containing protein		
XNR_RS04795	XNR_RS04795	XNR_RS04795	1139018	1139779	DeoR/GlpR transcriptional regulator		
XNR_RS04800	XNR_RS04815 // XNR_RS04810 // XNR_RS04805 // XNR_RS04800	XNR_RS04800	1139902	1141269	sugar ABC transporter substrate-binding protein		
XNR_RS04805	XNR_RS04815 // XNR_RS04810 // XNR_RS04805 // XNR_RS04800	XNR_RS04805	1141266	1142234	sugar ABC transporter permease		
XNR_RS04810	XNR_RS04815 // XNR_RS04810 // XNR_RS04805 // XNR_RS04800	XNR_RS04810	1142231	1143097	carbohydrate ABC transporter permease		
XNR_RS04815	XNR_RS04815 // XNR_RS04810 // XNR_RS04805 // XNR_RS04800	XNR_RS04815	1143094	1144089	zinc-dependent alcohol dehydrogenase family protein		
XNR_RS04820	XNR_RS04825 // XNR_RS04820	XNR_RS04820	1144346	1145515	DUF2029 domain-containing protein		
XNR_RS04825	XNR_RS04825 // XNR_RS04820	XNR_RS04825	1145512	1146243	FkbM family methyltransferase		
XNR_RS04830	XNR_RS04830	XNR_RS04830	1146289	1147443	glycosyltransferase family 4 protein		
XNR_RS04835	XNR_RS04840 // XNR_RS04835	XNR_RS04835	1147504	1148169	response regulator transcription factor		
XNR_RS04840	XNR_RS04840 // XNR_RS04835	XNR_RS04840	1148157	1149434	sensor domain-containing protein		
XNR_RS04845	XNR_RS04850 // XNR_RS04845	XNR_RS04845	1149584	1150330	ABC transporter ATP-binding protein		
XNR_RS04850	XNR_RS04850 // XNR_RS04845	XNR_RS04850	1150330	1152324	ABC transporter permease		
XNR_RS04855	XNR_RS04860 // XNR_RS04855	XNR_RS04855	1152610	1153281	response regulator transcription factor		
XNR_RS04860	XNR_RS04860 // XNR_RS04855	XNR_RS04860	1153300	1154673	two-component sensor histidine kinase		
XNR_RS04865	XNR_RS04865	XNR_RS04865	1154805	1156145	serine hydrolase		
XNR_RS04870	XNR_RS04870	XNR_RS04870	1156316	1166554	non-ribosomal peptide synthetase		
XNR_RS04875	XNR_RS04890 // XNR_RS04885 // XNR_RS04880 // XNR_RS04875	XNR_RS04875	1166605	1166814	MbtH family protein		
XNR_RS04880	XNR_RS04890 // XNR_RS04885 // XNR_RS04880 // XNR_RS04875	XNR_RS04880	1166745	1179422	non-ribosomal peptide synthetase		
XNR_RS04885	XNR_RS04890 // XNR_RS04885 // XNR_RS04880 // XNR_RS04875	XNR_RS04885	1179462	1180427	TauD/TfdA family dioxygenase		
XNR_RS04890	XNR_RS04890 // XNR_RS04885 // XNR_RS04880 // XNR_RS04875	XNR_RS04890	1180427	1181881	MFS transporter		
XNR_RS04895	XNR_RS04895	XNR_RS04895	1181944	1183122	cytochrome P450		
XNR_RS04900	XNR_RS04905 // XNR_RS04900	XNR_RS04900	1183176	1183988	winged helix-turn-helix transcriptional regulator		
XNR_RS04905	XNR_RS04905 // XNR_RS04900	XNR_RS04905	1184007	1184744	thioesterase		
XNR_RS04910	XNR_RS04910	XNR_RS04910	1184831	1186162	erythromycin esterase family protein		
XNR_RS04915	XNR_RS04915	XNR_RS04915	1186316	1187653	class I SAM-dependent RNA methyltransferase		
XNR_RS04920	XNR_RS04920	XNR_RS04920	1187754	1189817	APC family permease		
XNR_RS04925	XNR_RS04930 // XNR_RS04925	XNR_RS04925	1190294	1190965	TrkA family potassium uptake protein		
XNR_RS04930	XNR_RS04930 // XNR_RS04925	XNR_RS04930	1190962	1191675	TrkA family potassium uptake protein		
XNR_RS04935	XNR_RS04940 // XNR_RS04935	XNR_RS04935	1191748	1192518	DUF3159 domain-containing protein		
XNR_RS04940	XNR_RS04940 // XNR_RS04935	XNR_RS04940	1192522	1192929	OB-fold nucleic acid binding domain-containing protein		
XNR_RS04945	XNR_RS04955 // XNR_RS04950 // XNR_RS04945	XNR_RS04945	1192978	1193673	response regulator		
XNR_RS04950	XNR_RS04955 // XNR_RS04950 // XNR_RS04945	XNR_RS04950	1193703	1196261	sensor histidine kinase KdpD		
XNR_RS04955	XNR_RS04955 // XNR_RS04950 // XNR_RS04945	XNR_RS04955	1196284	1197027	ABC transporter ATP-binding protein		
XNR_RS04960	XNR_RS04965 // XNR_RS04960	XNR_RS04960	1197096	1197887	SDR family oxidoreductase		
XNR_RS04965	XNR_RS04965 // XNR_RS04960	XNR_RS04965	1197904	1198548	TetR/AcrR family transcriptional regulator		
