Sample	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	pe_sense	pe_antisense	failed		
325-MSG7	20799493	10549349	7262322	1152524	0	0	0	0	16909	0	0	0	0	1327837	480902	9650	50.71926032	20799493	19646969	94.46	1152524	5.54	325-MSG7_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20799493	0	20-150	66	15.72574538	134.4676126	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	21006825	12148191	21006825	3151023750	4691613	2830564936	10.16999044	0.0194	0.3173	0.6633		
326-MSG7	22467864	11722030	7316019	1358775	0	0	0	0	22079	0	0	0	0	1381681	652295	14985	52.17242725	22467864	21109089	93.95	1358775	6.05	326-MSG7_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22467864	0	20-150	66	16.15829053	135.4631352	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	22604897	12541466	22604897	3390734550	6310625	3067356792	9.53710039	0.0194	0.3357	0.6449		
329-MSGpH6	17587364	6614918	7056243	2619555	0	0	0	0	17339	0	0	0	0	924593	344780	9936	37.6117649	17587364	14967809	85.11	2619555	14.89	329-MSGpH6_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17587364	0	20-150	63	18.78864563	137.002829	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	17747491	9494245	17747491	2662123650	3641668	2437197998	8.449106111	0.0135	0.2585	0.728		
330-MSGpH6	21562599	9679792	8227834	1848472	0	0	0	0	34158	0	0	0	0	1233204	522173	16966	44.89158287	21562599	19714127	91.43	1848472	8.57	330-MSGpH6_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21562599	0	20-150	65	17.63559771	136.4488909	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	21733297	11702863	21733297	3259994550	5380124	2971252297	8.857139132	0.0145	0.2835	0.702		
333-DNPM	31331756	15723690	11814289	1559682	0	0	0	0	35522	0	0	0	0	1429943	744044	24586	50.18451567	31331756	29772074	95.02	1559682	4.98	333-DNPM_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	31331756	0	20-150	66	13.43764129	136.1855304	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	31536517	17053759	31536517	4730477550	6620963	4303695053	9.021974896	0.014	0.3096	0.6764		
334-DNPM	24338451	13340697	7553269	1502311	0	0	0	0	34610	0	0	0	0	1207671	672286	27607	54.81325414	24338451	22836140	93.83	1502311	6.17	334-DNPM_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24338451	0	20-150	67	16.40112623	138.4383684	pass	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass	2.6	24513178	12110890	24513178	3676976700	6239697	3400326904	7.523838702	0.0147	0.3338	0.6515		
353-24hISP2	23043155	11389825	8937984	1166796	0	0	0	0	19891	0	0	0	0	935307	571609	21743	49.42823585	23043155	21876359	94.94	1166796	5.06	353-24hISP2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23043155	0	20-150	66	14.15584868	138.4624848	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	23202154	11548217	23202154	3480323100	6261403	3218816680	7.513854676	0.0138	0.2963	0.6899		
354-24hISP2	19969995	10694078	6829347	1022947	0	0	0	0	20150	0	0	0	0	816288	566879	20306	53.55072948	19969995	18947048	94.88	1022947	5.12	354-24hISP2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19969995	0	20-150	67	15.27639286	138.5782369	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	20082992	9863844	20082992	3012448800	5023304	2788018421	7.450097708	0.0146	0.3188	0.6667		
358-24hMSG	17579394	7394062	8239542	725324	0	0	0	0	25058	0	0	0	0	812645	368389	14374	42.06096069	17579394	16854070	95.87	725324	4.13	358-24hMSG_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17579394	0	20-150	65	14.49459578	137.555917	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	17688951	9122062	17688951	2653342650	3789744	2437859694	8.121188419	0.0106	0.2619	0.7275		
359-24hMSG	18609491	7489275	8821243	930937	0	0	0	0	15849	0	0	0	0	954913	385839	11435	40.2443839	18609491	17678554	95	930937	5	359-24hMSG_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18609491	0	20-150	64	14.73609429	136.3424869	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	18725767	10148859	18725767	2808865050	4847988	2558326797	8.919554644	0.0115	0.2601	0.7284		
360-24hMSG	24771663	9997618	12179771	972051	0	0	0	0	22388	0	0	0	0	1077497	505701	16637	40.35909095	24771663	23799612	96.08	972051	3.92	360-24hMSG_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24771663	0	20-150	64	11.56735804	137.2413068	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	24905054	13130009	24905054	3735758100	5339713	3424777500	8.324430856	0.0105	0.2569	0.7326		
365-48hISP2	21247778	8172777	7159656	3292496	0	0	0	0	26884	0	0	0	0	2074438	503545	17982	38.46414905	21247778	17955282	84.5	3292496	15.5	365-48hISP2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21247778	0	20-150	63	19.72906665	136.9065628	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	21512174	11402414	21512174	3226826100	6690943	2952146515	8.512376449	0.0181	0.2625	0.7194		
366-48hISP2	21346797	8036671	7898208	2943436	0	0	0	0	17678	0	0	0	0	1950111	488283	12410	37.64813522	21346797	18403361	86.21	2943436	13.79	366-48hISP2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21346797	0	20-150	64	17.86272619	134.4072938	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	21718167	12403082	21718167	3257725050	6103269	2927615043	10.13314512	0.0185	0.2535	0.7279		
370-48hMSG	19269803	4088165	13428100	772518	0	0	0	0	20248	0	0	0	0	733952	219508	7312	21.21539592	19269803	18497285	95.99	772518	4.01	370-48hMSG_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19269803	0	20-150	62	10.93307944	136.4956147	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	19381806	10535845	19381806	2907270900	3440138	2651059180	8.812791405	0.0074	0.1343	0.8583		
371-48hMSG	22409778	9124411	10617209	1048830	0	0	0	0	31180	0	0	0	0	1097661	472666	17821	40.71620433	22409778	21360948	95.32	1048830	4.68	371-48hMSG_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22409778	0	20-150	65	15.02132814	137.5480097	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	22530068	11625807	22530068	3379510200	5256816	3104507225	8.137361888	0.0114	0.2513	0.7373		
372-48hMSG	18413150	5671017	10814976	890751	0	0	0	0	19030	0	0	0	0	711760	295443	10173	30.79873351	18413150	17522399	95.16	890751	4.84	372-48hMSG_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18413150	0	20-150	63	12.32401017	136.2006626	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	18635379	10181098	18635379	2795306850	4023813	2544212196	8.98272238	0.009	0.1946	0.7963		
377-72hIPS2	18675830	3145808	6010692	8571052	0	0	0	0	11176	0	0	0	0	719075	210700	7327	16.84427412	18675830	10104778	54.11	8571052	45.89	377-72hIPS2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18675830	0	20-150	61	18.66977287	136.0454165	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	18901351	10763121	18901351	2835202650	5273775	2577424174	9.092065289	0.0162	0.1835	0.8003		
378-72hIPS2	19559441	1943604	4151832	12841151	0	0	0	0	7260	0	0	0	0	479222	131722	4650	9.936909751	19559441	6718290	34.35	12841151	65.65	378-72hIPS2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19559441	0	20-150	60	17.90237682	137.5250532	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	19783722	10659198	19783722	2967558300	3710469	2726888709	8.110020652	0.015	0.1665	0.8185		
382-72hMSG	25082795	12554051	8947953	1147837	0	0	0	0	39796	0	0	0	0	1660837	712469	19852	50.05044693	25082795	23934958	95.42	1147837	4.58	382-72hMSG_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25082795	0	20-150	66	14.58871071	136.2500271	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	25291197	13630431	25291197	3793679550	4952262	3453296797	8.97236439	0.0169	0.3089	0.6741		
383-72hMSG	17926239	8578059	6745322	1015890	0	0	0	0	18144	0	0	0	0	1080081	478274	10469	47.85197274	17926239	16910349	94.33	1015890	5.67	383-72hMSG_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17926239	0	20-150	65	14.65888697	136.9987328	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	18042806	9565250	18042806	2706420900	3843211	2476532646	8.494179675	0.015	0.3018	0.6832		
384-72hMSG	30008567	12369156	13275857	1809652	0	0	0	0	30934	0	0	0	0	1729527	773562	19879	41.2187493	30008567	28198915	93.97	1809652	6.03	384-72hMSG_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30008567	0	20-150	64	13.97368316	136.8560802	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	30163859	15866563	30163859	4524578850	6639688	4136290973	8.581746277	0.0152	0.2693	0.7155		
389-96hISP2	30157928	3454684	4472180	20960525	0	0	0	0	8510	0	0	0	0	1007923	245404	8702	11.45530953	30157928	9197403	30.5	20960525	69.5	389-96hISP2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30157928	0	20-150	60	16.50560906	138.4730654	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	2.6	30400507	15839673	30400507	4560076050	6970048	4218404880	7.492663856	0.0208	0.2432	0.736		
390-96hISP2	19609582	2403121	1914008	14400738	0	0	0	0	4869	0	0	0	0	713084	168525	5237	12.25483032	19609582	5208844	26.56	14400738	73.44	390-96hISP2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19609582	0	20-150	60	18.14726271	136.0898236	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	2.6	19897298	11089528	19897298	2984594700	5192553	2714317958	9.055726796	0.0237	0.3039	0.6724		
394-96hMSG	20947813	2517845	15993193	969139	0	0	0	0	16582	0	0	0	0	1282023	166240	2791	12.01960797	20947813	19978674	95.37	969139	4.63	394-96hMSG_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20947813	0	20-150	61	9.378105683	134.018402	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	21179407	12361174	21179407	3176911050	4953338	2845619384	10.42810645	0.0141	0.0861	0.8998		
396-96hMSG	22112127	2191933	16252181	2822144	0	0	0	0	42820	0	0	0	0	663351	135740	3958	9.912809383	22112127	19289983	87.24	2822144	12.76	396-96hMSG_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22112127	0	20-150	59	14.33247356	132.7990438	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	22297958	13086213	22297958	3344693700	5769486	2967679180	11.27201932	0.0374	0.0644	0.8983		
397-120hISP2	21201985	3785365	2127917	14050340	0	0	0	0	14665	0	0	0	0	978410	233424	11864	17.85382359	21201985	7151645	33.73	14050340	66.27	397-120hISP2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21201985	0	20-150	60	23.13026208	143.9306596	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	2.6	21290478	8618267	21290478	3193571700	3312785	3071974312	3.807567183	0.0221	0.3582	0.6197		
398-120hISP2	21382685	4762381	2671344	12151692	0	0	0	0	15225	0	0	0	0	1432639	336714	12690	22.27213748	21382685	9230993	43.17	12151692	56.83	398-120hISP2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21382685	0	20-150	61	18.40504303	138.2922211	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	2.6	21651474	11001152	21651474	3247721100	4421220	3000834157	7.601851742	0.0254	0.3459	0.6287		
406-ISP2pH8	23165506	8749	35008	23118348	0	0	0	0	56	0	0	0	0	2746	579	20	0.03776736	23165506	47158	0.2	23118348	99.8	406-ISP2pH8_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23165506	0	20-150	47	13.91514234	140.4886691	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	2.6	23272472	12709850	23272472	3490870800	5227150	3278264120	6.090362324	0.0144	0.1126	0.873		
407-ISP2pH8	18654904	6074	38286	18607800	0	0	0	0	50	0	0	0	0	2274	400	20	0.032559803	18654904	47104	0.25	18607800	99.75	407-ISP2pH8_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18654904	0	20-150	47	14.61300306	139.4693863	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	2.6	18822896	10437368	18822896	2823434400	3749561	2632912180	6.747889025	0.0116	0.0842	0.9042		
411-Mannose	22608312	10882	16751	22578068	0	0	0	0	131	0	0	0	0	1921	533	26	0.04813274	22608312	30244	0.13	22578068	99.87	411-Mannose_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22608312	0	20-150	48	8.264839802	139.8796507	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	2.6	22812278	12341989	22812278	3421841700	2840542	3200272399	6.475147608	0.0189	0.2139	0.7671		
412-Mannose	16040852	4438	6161	16029119	0	0	0	0	36	0	0	0	0	841	248	9	0.02766686	16040852	11733	0.07	16029119	99.93	412-Mannose_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16040852	0	20-150	48	13.27622155	136.7235869	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	2.6	16237281	9750520	16237281	2435592150	2907204	2226382277	8.589692367	0.0128	0.2205	0.7667		
415-Ribose	41079017	300051	353032	40360832	0	0	0	0	1419	0	0	0	0	47307	15990	386	0.730424002	41079017	718185	1.75	40360832	98.25	415-Ribose_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	41079017	0	20-150	47	13.99190468	133.9858069	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	2.6	41717095	26143285	41717095	6257564250	10571526	5605570734	10.419286	0.0134	0.2405	0.7461		
416-Ribose	21953599	45261	105894	21789005	0	0	0	0	393	0	0	0	0	10744	2229	73	0.206166652	21953599	164594	0.75	21789005	99.25	416-Ribose_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21953599	0	20-150	47	22.66227722	137.6946061	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	2.6	22017361	12500412	22017361	3302604150	3054111	3039679387	7.96113464	0.0155	0.1602	0.8243		
421-Valine	19438237	5561	24540	19406559	0	0	0	0	32	0	0	0	0	1258	283	4	0.028608562	19438237	31678	0.16	19406559	99.84	421-Valine_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19438237	0	20-150	49	9.649916024	138.1150742	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	20060114	11201319	20060114	3009017100	4220526	2782293160	7.534817266	0.0078	0.104	0.8882		
424-Valine	24958662	23165	82438	24847922	0	0	0	0	111	0	0	0	0	3967	1009	50	0.092813469	24958662	110740	0.44	24847922	99.56	424-Valine_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24958662	0	20-150	49	8.2231938	139.7040568	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	25456007	13630144	25456007	3818401050	3807459	3568342640	6.548772817	0.0078	0.1227	0.8695		
425-Proline	31508549	2447	8419	31497148	0	0	0	0	74	0	0	0	0	344	114	3	0.007766146	31508549	11401	0.04	31497148	99.96	425-Proline_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	31508549	0	20-150	48	9.299887024	136.1663144	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	2.6	31951749	19416332	31951749	4792762350	6774269	4362086464	8.985963721	0.0081	0.1253	0.8666		
426-Proline	24634860	18502	43545	24569287	0	0	0	0	92	0	0	0	0	2760	654	20	0.075104953	24634860	65573	0.27	24569287	99.73	426-Proline_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24634860	0	20-150	48	11.93840013	134.1131736	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	2.6	25121979	15925902	25121979	3768296850	6677984	3380087544	10.30198314	0.0084	0.1591	0.8325		
443-MSGpH9	48995914	7160	30960	48955110	0	0	0	0	146	0	0	0	0	1979	552	7	0.014613463	48995914	40804	0.08	48955110	99.92	443-MSGpH9_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	48995914	0	20-150	48	12.46631524	134.6257462	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	2.6	49924818	30914458	49924818	7488722700	11234179	6744321524	9.940295639	0.0119	0.1174	0.8707		
450-MSGpH9	27397593	1931	28268	27366316	0	0	0	0	66	0	0	0	0	843	167	2	0.007048064	27397593	31277	0.11	27366316	99.89	450-MSGpH9_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27397593	0	20-150	48	13.43524562	134.8308309	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	2.6	27947921	17358654	27947921	4192188150	6049344	3780674582	9.816199876	0.0048	0.0446	0.9506		
459-Lhistidine	22362932	7486225	9419892	3042887	0	0	0	0	39811	0	0	0	0	2048969	312799	12349	33.4760442	22362932	19320045	86.39	3042887	13.61	459-Lhistidine_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22362932	0	20-150	63	22.52818543	135.0477415	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	22472630	12113957	22472630	3370894500	4094793	3041079089	9.784210422	0.0432	0.2133	0.7435		
460-Lhistidine	23087269	9895846	8702253	2615743	0	0	0	0	70881	0	0	0	0	1324548	450116	27882	42.86278295	23087269	20471526	88.67	2615743	11.33	460-Lhistidine_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23087269	0	20-150	64	21.26522724	138.7623445	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	23177579	11123133	23177579	3476636850	3505387	3223071302	7.293414841	0.0117	0.2681	0.7202		
467-Arabinose	20189624	3890137	4524083	10832716	0	0	0	0	33131	0	0	0	0	690630	206104	12823	19.26800123	20189624	9356908	46.35	10832716	53.65	467-Arabinose_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20189624	0	20-150	54	28.2587139	138.2571978	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass	2.6	20288090	10455459	20288090	3043213500	3251247	2812380742	7.585164761	0.0191	0.2291	0.7517		
468-Arabinose	27428277	1223016	2329071	23475312	0	0	0	0	14563	0	0	0	0	312685	69945	3685	4.458960364	27428277	3952965	14.41	23475312	85.59	468-Arabinose_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27428277	0	20-150	47	23.44129347	134.7350217	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass	2.6	27618968	16384351	27618968	4142845200	3879793	3730352250	9.956755082	0.0167	0.1829	0.8004		
Control1-MSG	20708094	8846753	9855345	974257	0	0	0	0	14747	0	0	0	0	617912	386698	12382	42.72123258	20708094	19733837	95.3	974257	4.7	Control1-MSG_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20708094	0	20-150	65	13.29420904	137.3280111	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	20845050	10997079	20845050	3126757500	5627910	2868093871	8.272583627	0.0086	0.2686	0.7228		
Control2-MSG	24419105	10546479	11174062	1181118	0	0	0	0	17774	0	0	0	0	975377	508652	15643	43.1894576	24419105	23237987	95.16	1181118	4.84	Control2-MSG_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24419105	0	20-150	65	12.34335902	136.8680803	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	24567929	13195514	24567929	3685189350	6372873	3368962898	8.581009603	0.01	0.2779	0.7121		
L-galactose-1	27509081	15623324	6870182	1536346	0	0	0	0	51276	0	0	0	0	2258477	1141814	27662	56.79333308	27509081	25972735	94.42	1536346	5.58	L-galactose-1_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27509081	0	20-150	67	11.97174258	132.4385479	pass	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass	2.6	28448230	16116158	28448230	4267234500	5622589	3781542783	11.38188485	0.032	0.3621	0.6059		
L-galactose-2	29931363	15379930	9051993	1581356	0	0	0	0	43886	0	0	0	0	2744467	1100077	29654	51.38399477	29931363	28350007	94.72	1581356	5.28	L-galactose-2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29931363	0	20-150	66	11.67131145	135.1738887	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	30301821	16521639	30301821	4545273150	5475813	4105443414	9.676640358	0.0389	0.3246	0.6365		
MSG-1A	28345655	8269147	15127763	1206745	0	0	0	0	36379	0	0	0	0	3053204	643670	8747	29.17253808	28345655	27138910	95.74	1206745	4.26	MSG-1A_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28345655	0	20-150	64	10.70847168	132.3243928	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	28871818	17440978	28871818	4330772700	6576295	3831875872	11.51981096	0.0597	0.1814	0.759		
MSG-1B	25589175	7616647	13794550	1034626	0	0	0	0	26202	0	0	0	0	2527651	581123	8376	29.76511357	25589175	24554549	95.96	1034626	4.04	MSG-1B_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25589175	0	20-150	64	11.01360277	134.2915136	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	25980216	15066982	25980216	3897032400	4886990	3498666345	10.22229261	0.0484	0.1853	0.7663		
MSG-2A	29517368	7481696	17329803	1256457	0	0	0	0	34110	0	0	0	0	2833083	574942	7277	25.34675856	29517368	28260911	95.74	1256457	4.26	MSG-2A_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29517368	0	20-150	64	9.438844574	132.305578	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	29998622	18289336	29998622	4499793300	6959737	3980556769	11.53911961	0.0422	0.1632	0.7946		
MSG-2B	29558547	7570261	16573776	1590131	0	0	0	0	26611	0	0	0	0	3189889	599964	7915	25.61107283	29558547	27968416	94.62	1590131	5.38	MSG-2B_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29558547	0	20-150	64	9.163778148	133.7989927	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	30088854	17799818	30088854	4513328100	5462806	4038843893	10.51295622	0.0546	0.1637	0.7817		
575-Mannose	19601005	5491145	11367573	736510	0	0	0	0	19500	0	0	0	0	1707150	271013	8114	28.01460945	19601005	18864495	96.24	736510	3.76	575-Mannose_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19601005	0	20-150	63	11.08222701	135.0033596	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	19672773	11176267	19672773	2950915950	3649237	2660939172	9.82667019	0.0241	0.1598	0.8161		
576-Mannose	18180393	6672120	9360647	703064	0	0	0	0	16211	0	0	0	0	1105724	309947	12680	36.69953669	18180393	17477329	96.13	703064	3.87	576-Mannose_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18180393	0	20-150	64	12.59581049	141.1375849	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	18244148	8738009	18244148	2736622200	2576612	2580388835	5.708985515	0.0176	0.2051	0.7773		
579-ISP220C	18745037	5187536	10690303	1478364	0	0	0	0	12468	0	0	0	0	1023088	339607	13671	27.67418384	18745037	17266673	92.11	1478364	7.89	579-ISP220C_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18745037	0	20-150	62	12.87473467	140.3844382	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	18832884	9362907	18832884	2824932600	6508734	2649265081	6.218467619					
580-ISP220C	19157282	5673074	10098137	1790841	0	0	0	0	20377	0	0	0	0	1153533	402962	18358	29.61314658	19157282	17366441	90.65	1790841	9.35	580-ISP220C_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19157282	0	20-150	62	15.03244228	139.4404101	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	19251807	9860031	19251807	2887771050	8530411	2689761031	6.856846182	0.0192	0.23	0.7508		
581-MSGpH5	18794276	7037347	9076718	837553	0	0	0	0	21549	0	0	0	0	1422343	382705	16061	37.44409734	18794276	17956723	95.54	837553	4.46	581-MSGpH5_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18794276	0	20-150	64	13.58981661	141.4742522	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	18890652	9014668	18890652	2833597800	3215167	2677037722	5.525134089	0.018	0.2452	0.7368		
583-MSGpH5	18424060	5305241	10481381	924955	0	0	0	0	8385	0	0	0	0	1417240	282034	4824	28.7951787	18424060	17499105	94.98	924955	5.02	583-MSGpH5_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18424060	0	20-150	63	11.44487855	138.1880524	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	18508550	10169653	18508550	2776282500	3955014	2560820615	7.760805502	0.0222	0.1809	0.797		
585-ISP2pH5	18202962	7291910	7482210	1108027	0	0	0	0	19901	0	0	0	0	1819466	464156	17292	40.05892008	18202962	17094935	93.91	1108027	6.09	585-ISP2pH5_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18202962	0	20-150	65	16.38271134	139.2963047	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	18274518	8657025	18274518	2741177700	6020914	2544130842	7.188401467	0.0381	0.2633	0.6986		
586-ISP2pH5	35997758	4382504	24912102	3935879	0	0	0	0	68617	0	0	0	0	2395430	294860	8366	12.17438042	35997758	32061879	89.07	3935879	10.93	586-ISP2pH5_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35997758	0	20-150	59	13.09611912	132.9588375	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	36089297	22734010	36089297	5413394550	16796669	4807165576	11.19868446	0.0242	0.0985	0.8772		
587-MSGpH9	21965161	7431622	10453678	1021024	0	0	0	0	18456	0	0	0	0	2609266	420270	10845	33.83367871	21965161	20944137	95.35	1021024	4.65	587-MSGpH9_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21965161	0	20-150	64	12.33427713	139.5104205	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	22052791	11098859	22052791	3307918650	3973305	3082125640	6.825833217	0.012	0.1974	0.7907		
