Orthogroup	Bsu	Eco	Mtu	Pae	Sac	Sal	Sen
OG0000306	"BSU_04820, BSU_12510, BSU_18850, BSU_21020, BSU_23590, BSU_26350"	b2450	"Rv2017, Rv2515c"	PA0048			
OG0000307	"BSU_05500, BSU_08230"	"b2543, b3101"	"Rv3005c, Rv3486"	"PA2864, PA3281"		XNR_RS01815	STM3232
OG0000308	"BSU_05720, BSU_12220, BSU_19420"		"Rv2739c, Rv2958c, Rv2962c"			"XNR_RS02910, XNR_RS02960, XNR_RS21760"	STM2773
OG0000309	"BSU_06280, BSU_10900, BSU_33640, BSU_34100"			"PA1622, PA2717, PA4152"	SACI_RS07200	"XNR_RS10495, XNR_RS19855"	
OG0000310	"BSU_06370, BSU_29990"	"b3664, b3714"		"PA1519, PA4719"	SACI_RS08125	"XNR_RS03230, XNR_RS11495"	STM3851
OG0000311	BSU_06440	b1131	Rv0777	"PA0230, PA2629, PA3516, PA3517"	SACI_RS03360	XNR_RS27530	STM1232
OG0000312	BSU_07230		"Rv0575c, Rv1260"	"PA2587, PA3328, PA4190, PA4217"		"XNR_RS02950, XNR_RS27270"	STM2175
OG0000313	"BSU_07850, BSU_27020"	b3153		"PA0355, PA4171, PA4336"	SACI_RS11020	"XNR_RS01120, XNR_RS02090"	STM3269
OG0000314	BSU_08610	b2743		PA3624	SACI_RS02110	"XNR_RS09065, XNR_RS13825, XNR_RS18140, XNR_RS18145, XNR_RS21165"	STM2926
OG0000315	BSU_08840	b0936		"PA0186, PA2594, PA2595, PA2596, PA2599, PA3445, PA3449"		XNR_RS00810	
OG0000316	BSU_08860	b0935	Rv0791c	"PA2090, PA2356, PA2598, PA2600, PA3444, PA3954"		XNR_RS00815	
OG0000317	BSU_09000	"b2368, b2685"		"PA1237, PA2836, PA3136, PA3402, PA4591, PA5159"			STM2814
OG0000318	BSU_09650	"b1120, b1120"	Rv1151c	"PA1125, PA1197"	SACI_RS01865	"XNR_RS02295, XNR_RS13070"	STM1221
OG0000319	"BSU_10250, BSU_24530"	b4386			"SACI_RS01500, SACI_RS01515, SACI_RS01690, SACI_RS01715, SACI_RS10665"	XNR_RS02385	STM4576
OG0000320	BSU_10340	"b0638, b4395"	"Rv2419c, Rv3390"		SACI_RS00190	"XNR_RS10145, XNR_RS21595"	"STM0643, STM4585"
OG0000321	"BSU_10790, BSU_30540, BSU_39920"	b0674	Rv2201	"PA0051, PA1214, PA2084, PA3459"			STM0680
OG0000322	BSU_11250	"b0273, b4254"	Rv1656	"PA3537, PA5172"	SACI_RS06735	XNR_RS04025	"STM4465, STM4469"
OG0000323	BSU_12190		"Rv0413, Rv3908"	"PA0990, PA2769"		"XNR_RS00265, XNR_RS07970, XNR_RS10855, XNR_RS11070, XNR_RS18950"	
OG0000324	BSU_14280	b0827	"Rv0438c, Rv0994"	"PA3028, PA3914"	"SACI_RS00500, SACI_RS04650"	XNR_RS10565	STM0846
OG0000325	BSU_14300	b0785	"Rv0866, Rv3119, Rv3323c"	PA3916	SACI_RS04545	"XNR_RS00585, XNR_RS07955"	STM0806
OG0000326	BSU_14390	"b1723, b2168"	Rv2029c	PA3561		"XNR_RS00135, XNR_RS11965"	"STM1326, STM2205, STM3254"
OG0000327	"BSU_15900, BSU_17100, BSU_17110, BSU_17120"	b1092	Rv2243	"PA0214, PA2968"		XNR_RS22355	STM1194
OG0000328	BSU_15920	b1094	"Rv0033, Rv1344, Rv2244"	"PA1869, PA2966, PA3334"		XNR_RS22345	STM1196
OG0000329	BSU_16750	b2319	Rv3708c	PA3116	"SACI_RS06750, SACI_RS10385, SACI_RS11460"	"XNR_RS13670, XNR_RS21310"	STM2369
OG0000330	"BSU_17000, BSU_30220"	"b0776, b3617"	"Rv0032, Rv1569"	PA0501		XNR_RS27585	"STM0795, STM3709"
OG0000331	"BSU_17610, BSU_40060"	b3564	Rv0729	"PA1487, PA2343"	SACI_RS05050	"XNR_RS00955, XNR_RS22150"	STM3660
OG0000332	"BSU_20340, BSU_29230"	b0184	"Rv1547, Rv3370c"	"PA0669, PA3640"		"XNR_RS23845, XNR_RS25215"	STM0231
OG0000333	BSU_23360	"b0525, b3363"	Rv0009	"PA1793, PA3227"		"XNR_RS13080, XNR_RS15020"	"STM0536, STM3472"
OG0000334	BSU_23840	b2268	"Rv2407, Rv3796"		"SACI_RS01320, SACI_RS06135"	XNR_RS21730	"STM1109, STM2313, STM2950"
OG0000335	BSU_23870	b0231	"Rv1537, Rv3056, Rv3394c"	PA0923	SACI_RS02640	"XNR_RS25220, XNR_RS27095"	STM0313
OG0000336	BSU_24990	b3728	"Rv0928, Rv0932c, Rv0934"	"PA2548, PA5369"		XNR_RS16125	"STM3528, STM3857"
OG0000337	"BSU_26500, BSU_26530"	"b2012, b3470"		"PA1006, PA1564"	"SACI_RS00935, SACI_RS01615, SACI_RS01640"		STM3578
OG0000338	BSU_26850	b0419		"PA1739, PA3795"		"XNR_RS02830, XNR_RS11470, XNR_RS11705, XNR_RS13955, XNR_RS25560"	STM0421
OG0000339	"BSU_27420, BSU_29160, BSU_31160, BSU_31800"	b2493		PA1007		"XNR_RS05430, XNR_RS15305, XNR_RS28665"	STM2493
OG0000340	BSU_27600	"b2784, b3650"	Rv2583c	"PA0934, PA5338"		"XNR_RS05305, XNR_RS26470"	"STM2956, STM3742"
OG0000341	"BSU_28770, BSU_32290"	b0675	"Rv1225c, Rv1692"	PA3886	SACI_RS04695	"XNR_RS08675, XNR_RS24945"	STM0681
OG0000342	BSU_29930	b3431	Rv1564c	PA2160	SACI_RS06875	"XNR_RS03605, XNR_RS06855, XNR_RS23030"	"STM1558, STM3537"
OG0000343	BSU_30350	b1534		PA1212	SACI_RS10020	"XNR_RS12540, XNR_RS13905, XNR_RS16790, XNR_RS19585, XNR_RS22010"	STM1516
OG0000344	"BSU_30580, BSU_32230"			PA1990	"SACI_RS08015, SACI_RS10425"	"XNR_RS02170, XNR_RS04250, XNR_RS08380, XNR_RS13245, XNR_RS13650"	
OG0000345	"BSU_30710, BSU_38760"	"b0733, b0978"	Rv1623c	PA3930		XNR_RS14565	"STM0360, STM0740, STM1792"
OG0000346	"BSU_30860, BSU_35580, BSU_36230"	b2028	Rv0322	"PA2022, PA3540, PA3559"		XNR_RS09680	STM2080
OG0000347	BSU_33390	"b0764, b2424"	"Rv1858, Rv2399c"	"PA0282, PA1862"	SACI_RS00545		"STM0782, STM2443"
OG0000348	"BSU_33730, BSU_33830"	b2129	Rv3758c	PA3891		"XNR_RS08950, XNR_RS17050, XNR_RS28810"	"STM1491, STM2163"
OG0000349	BSU_36700	b0781	"Rv0869c, Rv3109"	"PA1505, PA3870"	SACI_RS07055	"XNR_RS00595, XNR_RS24760"	STM0802
OG0000350	BSU_36900	b2551	"Rv0070c, Rv1093"	"PA2444, PA4602, PA5415"	SACI_RS06495	XNR_RS06735	STM2555
OG0000351	"BSU_37220, BSU_40760"			PA3469		"XNR_RS05185, XNR_RS05420, XNR_RS05425, XNR_RS14675, XNR_RS17330, XNR_RS19095, XNR_RS28020"	
OG0000352	BSU_37650	b2157	Rv2282c	"PA1309, PA1570, PA3398, PA5382, PA5437"		XNR_RS25850	STM2201
OG0000353	BSU_40010		Rv1049	PA1285		"XNR_RS03580, XNR_RS07480, XNR_RS15430, XNR_RS20000, XNR_RS26475, XNR_RS28305"	STM1547
OG0000354	BSU_40880	b1749	Rv0427c	"PA2545, PA4172, PA5332"	SACI_RS00610	"XNR_RS02490, XNR_RS10485"	STM1302
OG0000355		"b0140, b3143"		"PA0499, PA0993, PA2129, PA2132, PA4083, PA4085"			"STM0336, STM0339"
OG0000356		"b0856, b1125"		"PA0205, PA0303, PA0325, PA0605, PA3608"		XNR_RS05835	"STM0879, STM1225"
OG0000357		b1013	Rv0158	"PA0167, PA0436, PA1283, PA1504, PA1864"		"XNR_RS07505, XNR_RS22320"	STM1122
OG0000358		"b1195, b1795"	Rv1861	PA5424		"XNR_RS13975, XNR_RS18270, XNR_RS19025, XNR_RS24790"	"STM1274, STM1797"
OG0000359		"b1372, b1547"		PA0620			"STM0926, STM1049, STM2243, STM2588, STM2703, STM2706, STM4200"
OG0000360		b2017	"Rv0268c, Rv1228a, Rv1247c, Rv2865, Rv3181c, Rv3357"			"XNR_RS09920, XNR_RS27615"	STM3559
OG0000361			"Rv0386, Rv0890c, Rv0891c, Rv0894, Rv1120c, Rv1358, Rv1359, Rv1900c, Rv2488c, Rv2490a"				
OG0000362			"Rv1318c, Rv1319c, Rv1320c, Rv1625c, Rv1647, Rv2212, Rv2435c, Rv3645"	PA3217		XNR_RS29280	
OG0000363			"Rv1628c, Rv3521"		"SACI_RS05340, SACI_RS06505, SACI_RS08405, SACI_RS09515, SACI_RS10685, SACI_RS10780, SACI_RS10785, SACI_RS11085"		
OG0000364			Rv3363c			"XNR_RS01240, XNR_RS04000, XNR_RS06305, XNR_RS06325, XNR_RS07460, XNR_RS11355, XNR_RS11630, XNR_RS25780, XNR_RS26980"	
OG0000365						"XNR_RS10390, XNR_RS11205, XNR_RS13300, XNR_RS13795, XNR_RS13935, XNR_RS18125, XNR_RS20600, XNR_RS23225, XNR_RS26665, XNR_RS31105"	
OG0000366	BSU_00280	b1098	Rv3247c	PA2962	"SACI_RS04265, SACI_RS09755, SACI_RS09760"	XNR_RS13380	STM1200
OG0000367	"BSU_01570, BSU_07980, BSU_09660, BSU_12100, BSU_16700"		Rv1096			"XNR_RS03715, XNR_RS07490, XNR_RS28040"	
OG0000368	"BSU_01580, BSU_34660"	b1206	Rv1707	"PA0029, PA2563"		"XNR_RS14190, XNR_RS17580"	STM1781
OG0000369	"BSU_01690, BSU_08190"	"b1853, b4089"		"PA3184, PA5438"		XNR_RS11830	"STM1127, STM1887"
OG0000370	"BSU_01780, BSU_01900"	b3729	Rv3436c	PA5549	SACI_RS11435	"XNR_RS18660, XNR_RS20705"	STM3861
OG0000371	"BSU_01920, BSU_37370"		"Rv0693, Rv1681"	"PA0511, PA1989"	"SACI_RS01445, SACI_RS07105"	XNR_RS01300	
OG0000372	BSU_03360	b4352	Rv0106	"PA2945, PA4604, PA5535"		"XNR_RS05100, XNR_RS28255"	STM4530
OG0000373	BSU_03640	b3843		"PA0254, PA5237"	"SACI_RS06765, SACI_RS09935"	XNR_RS17670	"STM2922, STM3978"
OG0000374	"BSU_03890, BSU_05240, BSU_09480"			"PA0268, PA4165, PA5431"		"XNR_RS13060, XNR_RS19315"	STM2803
OG0000375	"BSU_04000, BSU_28270"	"b0073, b1800"	Rv2995c	PA3118	SACI_RS02850	XNR_RS06470	STM0112
OG0000376	BSU_04440	b3579		"PA0884, PA3779, PA4616, PA5167"			"STM3169, STM3673, STM4054"
OG0000377	BSU_04560	"b0092, b0381"	Rv2981c	"PA4201, PA4410"		XNR_RS06190	"STM0130, STM0380"
OG0000378	BSU_05960	b0783	"Rv0864, Rv3111, Rv3324c"	PA3918	SACI_RS04325	XNR_RS10560	STM0804
OG0000379	BSU_06300	"b0123, b3017"	Rv0846c	"PA2065, PA3768"		XNR_RS22920	"STM0168, STM3172"
OG0000380	"BSU_06730, BSU_08020"	"b0859, b2785"	Rv2689c	PA0933		XNR_RS04915	"STM0882, STM2957"
OG0000381	"BSU_06960, BSU_07010, BSU_08250"	"b2382, b3954"		"PA2337, PA3423"			"STM2036, STM4117"
OG0000382	BSU_07330	b4374	Rv3376	PA1685	"SACI_RS00085, SACI_RS01160"	"XNR_RS00490, XNR_RS06275"	STM4559
OG0000383	"BSU_08000, BSU_24740"	b3816	Rv1239c	PA5268	SACI_RS11005	"XNR_RS08165, XNR_RS25575"	STM3952
OG0000384	BSU_08590		"Rv1124, Rv1938, Rv3617, Rv3670"	PA3994		"XNR_RS08135, XNR_RS13495, XNR_RS13625"	
OG0000385	"BSU_09260, BSU_19740"		Rv3329	"PA0221, PA0299, PA4805"	SACI_RS10335	"XNR_RS05895, XNR_RS13715"	
OG0000386	BSU_09390	b2924	Rv2434c	"PA1775, PA4394, PA4925"	SACI_RS03080		"STM3067, STM4102"
OG0000387	"BSU_09600, BSU_09610"	b0624	"Rv3069, Rv3070"	PA4383		"XNR_RS12330, XNR_RS12335"	STM0630
OG0000388	"BSU_09910, BSU_10640"	b0398	Rv1277	"PA0544, PA4281"	SACI_RS00235	XNR_RS27445	STM0396
OG0000389	BSU_10500	b0347	Rv1751	PA0247		"XNR_RS02900, XNR_RS05380, XNR_RS16655, XNR_RS21975"	STM1546
OG0000390	"BSU_10930, BSU_15570"	b2762	Rv2392	PA1756	"SACI_RS09285, SACI_RS10645"	XNR_RS03510	STM2946
OG0000391	BSU_11220	"b1748, b3359"	Rv1655	PA0895	SACI_RS03610	XNR_RS26110	"STM1303, STM3468"
OG0000392	BSU_11420	b3384	Rv3336c	PA4439	SACI_RS02180	"XNR_RS17420, XNR_RS19370"	"STM3481, STM4508"
OG0000393	"BSU_11710, BSU_38020"	b2103	Rv0422c	PA3975	"SACI_RS01330, SACI_RS04550"	XNR_RS06170	STM2146
OG0000394	"BSU_11840, BSU_40680, BSU_40720"	b2267	Rv2851c	"PA0115, PA2631"		XNR_RS23810	STM2312
OG0000395	BSU_11890	b1066	Rv0995	PA1928		"XNR_RS02145, XNR_RS10550, XNR_RS11860, XNR_RS27140"	STM1167
OG0000396	"BSU_12080, BSU_14880"	b0428	Rv1451	"PA0113, PA1321"	SACI_RS07800	XNR_RS24420	STM0439
OG0000397	"BSU_12290, BSU_32200"	b1109	"Rv0392c, Rv1854c"	PA4538	SACI_RS09330	XNR_RS13030	STM1211
OG0000398	BSU_13030	b1253		"PA2693, PA3741, PA5371, PA5519"	SACI_RS00690	XNR_RS09580	STM1736
OG0000399	"BSU_13530, BSU_13660, BSU_13990, BSU_14490, BSU_31450"	"b2219, b4003"				XNR_RS25945	STM4173
OG0000400	"BSU_13860, BSU_24460"	b2385	"Rv2089c, Rv2535c"	PA4498	"SACI_RS04845, SACI_RS07060"	XNR_RS26565	
OG0000401	"BSU_13900, BSU_34740"	"b2415, b3206"		PA4466		"XNR_RS00145, XNR_RS05065"	"STM2431, STM3324"
OG0000402	BSU_14350	b2074		"PA0156, PA0157, PA1435, PA2521, PA2528, PA3677"			STM2126
OG0000403	"BSU_14470, BSU_28030, BSU_36410"	"b3251, b4011"		PA4481		"XNR_RS21465, XNR_RS22280"	STM3374
OG0000404	BSU_14670	b2533	"Rv1604, Rv2701c"	PA3818	SACI_RS04440	"XNR_RS02375, XNR_RS05010"	STM2546
OG0000405	"BSU_14890, BSU_38170"	b0432	Rv2200c	"PA0105, PA1317"	SACI_RS10925	XNR_RS23395	STM0443
OG0000406	"BSU_15160, BSU_15170"	b0084	Rv2163c	"PA2272, PA4418"		XNR_RS23720	"STM0122, STM1836"
OG0000407	BSU_15820	b3637	"Rv0105c, Rv2058c, Rv2975a"	PA5316		"XNR_RS06165, XNR_RS28270"	STM3728
OG0000408	BSU_16150	b3932	Rv2110c	PA5053	"SACI_RS02915, SACI_RS03155, SACI_RS04345"	XNR_RS25690	STM4092
OG0000409	BSU_16530	b0174	"Rv1086, Rv2361c"	PA3652	SACI_RS03620	"XNR_RS20370, XNR_RS21860"	STM0221
OG0000410	BSU_16630	"b3168, b3168, b3168"	Rv2839c	PA4744	SACI_RS03305	XNR_RS29605	STM3286
OG0000411	BSU_16930	"b1537, b2700"	Rv1901	"PA2141, PA3618"		XNR_RS05500	"STM1514, STM2830"
OG0000412	BSU_17460	b3870	"Rv2220, Rv2222c"	PA5119	SACI_RS07075	"XNR_RS22940, XNR_RS23195"	STM4007
OG0000413	"BSU_19720, BSU_38980"	b2222	"Rv2503c, Rv3552"	"PA0227, PA2000"	SACI_RS01790	XNR_RS01075	
OG0000414	BSU_22750	b3833	Rv0558	PA5063	"SACI_RS00080, SACI_RS04920, SACI_RS09145"	XNR_RS17960	STM3970
OG0000415	BSU_22870	b3605	"Rv0694, Rv1872c"	"PA2382, PA4771"	SACI_RS00425		"STM1620, STM3694"
OG0000416	"BSU_23520, BSU_25100"	b0683	Rv2359	PA4764	SACI_RS00215	"XNR_RS16555, XNR_RS21865"	STM0693
OG0000417	"BSU_23550, BSU_29220"	b2463	Rv3013	PA5046	SACI_RS10420	"XNR_RS07635, XNR_RS09145"	STM2472
OG0000418	BSU_23610	"b2467, b3034"	Rv1700	PA4971	SACI_RS00060	XNR_RS25010	"STM2477, STM3185"
OG0000419	BSU_23850	b1852	"Rv1121, Rv1447c"	"PA3183, PA5439"		"XNR_RS00680, XNR_RS24405"	STM1886
OG0000420	BSU_24270	b0420	"Rv2682c, Rv3379c"	PA4044	SACI_RS00870	XNR_RS03805	"STM0422, STM2340"
OG0000421	BSU_24450	"b2171, b4147"	Rv2534c	PA2851	SACI_RS06270	XNR_RS26570	"STM2211, STM4334"
OG0000422	BSU_24850	b3222	Rv0650			"XNR_RS00390, XNR_RS02720, XNR_RS11945, XNR_RS23545"	"STM3336, STM3681"
OG0000423	BSU_26970	b0608	Rv1895	"PA2119, PA2158, PA2188"		"XNR_RS12005, XNR_RS27295"	STM0615
OG0000424	BSU_27060	"b1817, b3133, b3138"					"STM0576, STM0577, STM1830, STM4535, STM4536"
OG0000425	BSU_27320	"b3181, b3406"	Rv1080c	"PA2859, PA4755"		XNR_RS20020	"STM3299, STM3503"
OG0000426	BSU_27410	b2697	Rv2555c	PA0903	"SACI_RS05565, SACI_RS06945"	"XNR_RS15980, XNR_RS26525"	STM2827
OG0000427	BSU_27440		Rv0411c	"PA1260, PA2204, PA4195, PA5076"		"XNR_RS02470, XNR_RS05365, XNR_RS21200"	
OG0000428	"BSU_27510, BSU_29590"	b2530	Rv3025c	"PA2062, PA3814"		"XNR_RS06665, XNR_RS23390"	STM2543
OG0000429	"BSU_27560, BSU_34930"	b2514	Rv2580c	"PA3802, PA4939"	SACI_RS03160	XNR_RS26495	STM2522
OG0000430	BSU_28050	"b1087, b3248"	Rv3282	"PA2972, PA4478"		XNR_RS19910	"STM1189, STM3371"
OG0000431	BSU_29320	"b0849, b3610"	Rv3198A	PA5129		"XNR_RS03060, XNR_RS08025"	"STM0872, STM3702"
OG0000432	BSU_29470	"b2296, b3115"	Rv0409	PA0836		XNR_RS06980	"STM2057, STM2337, STM3242"
OG0000433	"BSU_29670, BSU_38460"	b1637	Rv1689	"PA0668, PA4138"	SACI_RS00350	XNR_RS24795	STM1449
OG0000434	BSU_30940	"b3417, b3428"	Rv1328	PA2144	SACI_RS01435	XNR_RS06895	"STM3514, STM3534"
OG0000435	BSU_31630	b2277	Rv3157	"PA1056, PA2648"		"XNR_RS03970, XNR_RS18040, XNR_RS18250"	STM2317
OG0000436	BSU_32020		Rv0218	PA4882	SACI_RS05730	"XNR_RS04275, XNR_RS12115, XNR_RS20065, XNR_RS23605, XNR_RS25805"	
OG0000437	BSU_32510	"b0283, b2875"	"Rv0372c, Rv0376c"	"PA1522, PA4618"	SACI_RS04875	XNR_RS03225	
OG0000438	BSU_34440		"Rv0399c, Rv1730c"			"XNR_RS04865, XNR_RS05880, XNR_RS11020, XNR_RS14655, XNR_RS17115, XNR_RS21320"	
OG0000439	BSU_34790	b0888	Rv3913	"PA0849, PA2616"	"SACI_RS04445, SACI_RS05570"	XNR_RS14860	STM0958
OG0000440	BSU_35960	"b3751, b4088, b4227"		PA1946		"XNR_RS01835, XNR_RS01935, XNR_RS08340"	STM3884
OG0000441	"BSU_36310, BSU_40900"	b4059	Rv0054	PA4232		"XNR_RS14775, XNR_RS21105"	"PSLT066, STM4256"
OG0000442	BSU_37000	b1212	Rv1300	PA4664		"XNR_RS06525, XNR_RS07300, XNR_RS11075, XNR_RS22265"	STM1775
OG0000443	"BSU_37120, BSU_39670"	"b1773, b2096, b3137"		PA0555		XNR_RS11970	"STM3253, STM3780"
OG0000444	BSU_37250	"b1227, b1465"	"Rv1164, Rv1736c"	PA3872		XNR_RS02045	"STM1580, STM1761"
OG0000445	BSU_37830	"b2041, b3788"	Rv3464	PA5161	SACI_RS08140	XNR_RS02925	"STM2097, STM3922"
OG0000446	BSU_38750	"b0734, b0979"	Rv1622c	PA3929		XNR_RS14560	"STM0361, STM0741, STM1793"
OG0000447	BSU_39230	"b0497, b0700, b3482, b3593"		"PA2458, PA2684"			"STM0291, STM0292"
OG0000448	BSU_06860	"b1111, b4251"		"PA2484, PA2931"		"XNR_RS03285, XNR_RS16080"	"STM1213, STM1674"
OG0000449		"b0030, b0651, b2162"	Rv3393	PA0143	"SACI_RS00210, SACI_RS05660"		"STM0051, STM0661"
OG0000450		"b0045, b2771"		PA4187	"SACI_RS04230, SACI_RS04990, SACI_RS07260, SACI_RS10120"	XNR_RS28920	STM0079
OG0000451		"b0126, b0339"	Rv3588c	"PA0102, PA2053, PA4676"		XNR_RS12445	"PSLT046, STM0171"
OG0000452		"b0139, b0532, b0940, b1505, b3144, b4317"		"PA0994, PA2130, PA4084"			
OG0000453		"b0462, b2470, b3266, b3514"		PA0426			"STM0351, STM0475, STM2481, STM3391"
OG0000454		"b0570, b1968"		"PA1438, PA2524, PA2810, PA4886"		"XNR_RS05000, XNR_RS23465"	STM1095
OG0000455		b0897		"PA1202, PA2419, PA2698, PA3846"		"XNR_RS07100, XNR_RS15920"	"STM0950, STM3761"
OG0000456		"b1296, b2014"		"PA0322, PA2041, PA3597, PA5510"		XNR_RS20515	"STM1379, STM2068"
OG0000457		"b1802, b2538"	Rv3161c	"PA2083, PA2512, PA2518, PA5410"	SACI_RS09955	XNR_RS29320	
OG0000458		"b2317, b3095"	"Rv0364, Rv2637"	PA4029		"XNR_RS16980, XNR_RS27380"	"STM2367, STM3226"
OG0000459		"b2341, b3846"	Rv0860	"PA1737, PA3014"		"XNR_RS01465, XNR_RS03780"	"STM2388, STM3983"
OG0000460		b3668	Rv0845	PA1979		"XNR_RS04840, XNR_RS04860, XNR_RS15570, XNR_RS18200, XNR_RS18205"	STM3789
OG0000461		b4187	"Rv0672, Rv3797"	"PA3593, PA3972"	SACI_RS08505	"XNR_RS02525, XNR_RS03470"	STM4377
OG0000462			"Rv0074, Rv2915c"		"SACI_RS08520, SACI_RS08805"	"XNR_RS01425, XNR_RS02505, XNR_RS19040, XNR_RS24585, XNR_RS24775"	
OG0000463			"Rv0116c, Rv0192, Rv0483, Rv1433, Rv2518c"			"XNR_RS06845, XNR_RS06850, XNR_RS19955, XNR_RS23410"	
OG0000464			"Rv0577, Rv0911"	PA1672		"XNR_RS01555, XNR_RS05045, XNR_RS22275, XNR_RS23265, XNR_RS27305"	STM0409
OG0000465			Rv0771	"PA0231, PA0232, PA0480, PA4486"	SACI_RS08690	"XNR_RS01775, XNR_RS02510, XNR_RS26070"	
OG0000466			"Rv1263, Rv2363"	"PA0202, PA0704, PA4342"	SACI_RS10485	"XNR_RS04260, XNR_RS08575, XNR_RS27210"	
OG0000467			Rv2745c	"PA0535, PA3260"	SACI_RS11410	"XNR_RS01130, XNR_RS05495, XNR_RS16740"	"STM0898A, STM4042A"
OG0000468			"Rv2937, Rv2938"		SACI_RS04810	"XNR_RS11385, XNR_RS12200, XNR_RS15575, XNR_RS16615, XNR_RS20015, XNR_RS29040"	
OG0000469						"XNR_RS00110, XNR_RS00995, XNR_RS29050, XNR_RS29200, XNR_RS29225, XNR_RS29330, XNR_RS30550, XNR_RS31485, XNR_RS31675"	
OG0000470						"XNR_RS11395, XNR_RS14305, XNR_RS14345, XNR_RS16625, XNR_RS20320, XNR_RS22970, XNR_RS26065, XNR_RS26085, XNR_RS27205"	
OG0000471						"XNR_RS02970, XNR_RS10105, XNR_RS10780, XNR_RS11090, XNR_RS16220, XNR_RS20045, XNR_RS21030, XNR_RS25015, XNR_RS29250"	
OG0000472	"BSU_00060, BSU_18090"	b3699	Rv0005	PA0004		"XNR_RS05155, XNR_RS14930"	STM3835
OG0000473	"BSU_00070, BSU_18100"	b2231	Rv0006	PA3168		"XNR_RS05095, XNR_RS14935"	STM2272
OG0000474	BSU_00090	b2508	"Rv1843c, Rv3411c"	PA3770		"XNR_RS18860, XNR_RS26735"	STM2511
OG0000475	BSU_00190	"b0470, b0470"	Rv3721c	PA1532	SACI_RS04335	XNR_RS14175	STM0484
OG0000476	"BSU_00370, BSU_00560, BSU_14480"				"SACI_RS00475, SACI_RS05775, SACI_RS09445, SACI_RS09520, SACI_RS10600"		
OG0000477	BSU_00420	b0051	"Rv1010, Rv1988"	PA0592	SACI_RS02965	XNR_RS10355	STM0090
OG0000478	"BSU_00470, BSU_27610"	b0469	Rv2584c	PA1543	SACI_RS03335	XNR_RS26465	STM0483
OG0000479	BSU_00690	b3178	Rv3610c	PA4751	SACI_RS03125	"XNR_RS06055, XNR_RS17015"	STM3296
OG0000480	BSU_00870	b4389	Rv3585	PA4609	"SACI_RS02605, SACI_RS05595"	XNR_RS17325	STM4579
OG0000481	"BSU_01800, BSU_08010"	b2068	Rv1317c	PA1686		"XNR_RS02160, XNR_RS02335"	STM2124
OG0000482	"BSU_02640, BSU_05990"	b3839	Rv2093c	PA5070	SACI_RS01240	XNR_RS25750	STM3975
OG0000483	"BSU_02950, BSU_40840"	"b1769, b1775"		PA3467	SACI_RS10035	"XNR_RS01810, XNR_RS16825"	
OG0000484	"BSU_02960, BSU_40660"	b1596		"PA5030, PA5219"		XNR_RS19735	"STM0328, STM1486"
OG0000485	"BSU_03060, BSU_34190"	"b2975, b3603"		PA4770		"XNR_RS04125, XNR_RS09495"	STM3692
OG0000486	BSU_03150	"b0388, b3390"	Rv2539c	PA5039		XNR_RS26550	"STM0388, STM3487"
OG0000487	"BSU_03440, BSU_13950, BSU_18610, BSU_31230, BSU_31240, BSU_31250, BSU_31260, BSU_33690"						
OG0000488	BSU_03900	"b1302, b2662"	Rv2589	PA0266	SACI_RS04910	XNR_RS05805	STM2792
OG0000489	"BSU_04190, BSU_09450, BSU_10400, BSU_10430"	b3003		PA2142		XNR_RS22250	STM3157
OG0000490	BSU_04470	b3528	Rv2443	"PA0119, PA1183"		"XNR_RS02345, XNR_RS06955"	STM3614
OG0000491	BSU_05940	b3064	Rv3419c	PA0580	SACI_RS04080	"XNR_RS15985, XNR_RS18785"	STM3208
OG0000492	"BSU_05950, BSU_07420, BSU_14430"	b0820	Rv1473	PA1964		XNR_RS24665	STM0838
OG0000493	BSU_06030	b4143	"Rv0440, Rv3417c"	PA4385		"XNR_RS11880, XNR_RS18830"	STM4330
OG0000494	"BSU_06170, BSU_22110"	b1772		PA2261	SACI_RS01095	XNR_RS20145	"STM3251, STM4066"
OG0000495	BSU_06310	b2663	Rv0522	PA0129		"XNR_RS21350, XNR_RS21355, XNR_RS21365"	STM2793
OG0000496	BSU_06340		"Rv1480, Rv3163c, Rv3693"	"PA3071, PA4323"		"XNR_RS09420, XNR_RS23695"	
OG0000497	BSU_06360	b2507	Rv3396c	PA3769	"SACI_RS02020, SACI_RS02615"	XNR_RS18930	STM2510
OG0000498	BSU_06490	b2312	Rv0808	PA3108	"SACI_RS07690, SACI_RS07695"	XNR_RS14090	STM2362
OG0000499	"BSU_06750, BSU_17870"	b1158		PA3867	SACI_RS03015		"PSLT045, STM2702, STM2772"
OG0000500	"BSU_06950, BSU_28930, BSU_36350"	"b2126, b2380"		PA5262		XNR_RS28010	STM2159
OG0000501	"BSU_07880, BSU_36930"	"b0982, b2061"	Rv2234	PA2978		XNR_RS07290	STM2117
OG0000502	"BSU_08710, BSU_28120"	b0154	Rv0524	PA3977	SACI_RS03730	XNR_RS17625	STM0202
OG0000503	"BSU_09210, BSU_11620, BSU_15460"	b2594	Rv1540	PA4544		XNR_RS23805	STM2662
OG0000504	"BSU_09440, BSU_24140, BSU_29140"	b0333	Rv1131	PA0795		XNR_RS00720	STM0369
OG0000505	"BSU_09840, BSU_25500"	b2955	Rv2388c	PA0386		XNR_RS21680	"STM3104, STM4012"
