	sample_id	strain	project	condition	notes	run	ReleaseDate	Type	sequencing_run	LibraryLayout	Platform	R1	R2	skip	reference_condition	passed_fastqc	passed_contamination_check	passed_reads_mapped_to_CDS	passed_global_correlation
377-72hIPS2	377-72hIPS2	J1074	PRECISE	72h IPS2	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/377_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/377_R2_001.fastq.gz	False	control	True	False	True	False
378-72hIPS2	378-72hIPS2	J1074	PRECISE	72h IPS2	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/378_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/378_R2_001.fastq.gz	False	control	True	False	True	False
382-72hMSG	382-72hMSG	J1074	PRECISE	72h MSG	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/382_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/382_R2_001.fastq.gz	False	control	True	True	True	True
383-72hMSG	383-72hMSG	J1074	PRECISE	72h MSG	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/383_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/383_R2_001.fastq.gz	False	control	True	True	True	True
384-72hMSG	384-72hMSG	J1074	PRECISE	72h MSG	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/384_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/384_R2_001.fastq.gz	False	control	True	True	True	True
389-96hISP2	389-96hISP2	J1074	PRECISE	96h ISP2	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/389_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/389_R2_001.fastq.gz	False	control	True	False	True	False
390-96hISP2	390-96hISP2	J1074	PRECISE	96h ISP2	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/390_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/390_R2_001.fastq.gz	False	control	True	False	True	False
394-96hMSG	394-96hMSG	J1074	PRECISE	96h MSG	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/394_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/394_R2_001.fastq.gz	False	control	True	True	True	True
396-96hMSG	396-96hMSG	J1074	PRECISE	96h MSG	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/396_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/396_R2_001.fastq.gz	False	control	True	True	True	True
397-120hISP2	397-120hISP2	J1074	PRECISE	120h ISP2	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/397_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/397_R2_001.fastq.gz	False	control	True	False	True	False
398-120hISP2	398-120hISP2	J1074	PRECISE	120h ISP2	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/398_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/398_R2_001.fastq.gz	False	control	True	False	True	False
406-ISP2pH8	406-ISP2pH8	J1074	PRECISE	ISP2 pH 8	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/406_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/406_R2_001.fastq.gz	False	control	True	False	False	False
407-ISP2pH8	407-ISP2pH8	J1074	PRECISE	ISP2 pH 8	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/407_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/407_R2_001.fastq.gz	False	control	True	False	False	False
411-Mannose	411-Mannose	J1074	PRECISE	Mannose	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/411_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/411_R2_001.fastq.gz	False	control	True	False	False	False
412-Mannose	412-Mannose	J1074	PRECISE	Mannose	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/412_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/412_R2_001.fastq.gz	False	control	True	False	False	False
415-Ribose	415-Ribose	J1074	PRECISE	Ribose	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/415_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/415_R2_001.fastq.gz	False	control	True	False	False	False
416-Ribose	416-Ribose	J1074	PRECISE	Ribose	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/416_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/416_R2_001.fastq.gz	False	control	True	False	False	False
421-Valine	421-Valine	J1074	PRECISE	Valine	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/421_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/421_R2_001.fastq.gz	False	control	True	False	False	False
424-Valine	424-Valine	J1074	PRECISE	Valine	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/424_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/424_R2_001.fastq.gz	False	control	True	False	False	False
425-Proline	425-Proline	J1074	PRECISE	Proline	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/425_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/425_R2_001.fastq.gz	False	control	True	False	False	False
426-Proline	426-Proline	J1074	PRECISE	Proline	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/426_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/426_R2_001.fastq.gz	False	control	True	False	False	False
443-MSGpH9	443-MSGpH9	J1074	PRECISE	MSG pH9	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/443_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/443_R2_001.fastq.gz	False	control	True	False	False	False
450-MSGpH9	450-MSGpH9	J1074	PRECISE	MSG pH9	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/450_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/450_R2_001.fastq.gz	False	control	True	False	False	False
459-Lhistidine	459-Lhistidine	J1074	PRECISE	L-histidine	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/459_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/459_R2_001.fastq.gz	False	control	True	True	True	True
460-Lhistidine	460-Lhistidine	J1074	PRECISE	L-histidine	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/460_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/460_R2_001.fastq.gz	False	control	True	True	True	True
467-Arabinose	467-Arabinose	J1074	PRECISE	Arabinose	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/467_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/467_R2_001.fastq.gz	False	control	True	False	True	False
468-Arabinose	468-Arabinose	J1074	PRECISE	Arabinose	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/468_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/468_R2_001.fastq.gz	False	control	True	False	True	False
Control1-MSG	Control1-MSG	J1074	PRECISE	control	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/Control-1_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/Control-1_R2_001.fastq.gz	False	control	True	True	True	True
Control2-MSG	Control2-MSG	J1074	PRECISE	control	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/Control-2_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/Control-2_R2_001.fastq.gz	False	control	True	True	True	True
L-galactose-1	L-galactose-1	J1074	azenta trial	L-galactose	"Samples were mistakenly labelled ""L-glutamate"". L-galactose is the carbon source."		20/12/2023	in-house	run_01_02__merged_azenta	PAIRED	ILLUMINA	/home/nimat/reads/streptsd/ready/merged_L-glutamate-1_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/merged_L-glutamate-1_R2_001.fastq.gz	False	Monosodium glutamate	True	True	True	True
L-galactose-2	L-galactose-2	J1074	azenta trial	L-galactose	"Samples were mistakenly labelled ""L-glutamate"". L-galactose is the carbon source."		20/12/2023	in-house	run_01_02__merged_azenta	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/merged_L-glutamate-2_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/merged_L-glutamate-2_R2_001.fastq.gz	False	Monosodium glutamate	True	True	True	True
MSG-1A	MSG-1A	J1074	azenta trial	Monosodium glutamate	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_01_02__merged_azenta	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/merged_MSG-1A_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/merged_MSG-1A_R2_001.fastq.gz	False	Monosodium glutamate	True	True	True	True
MSG-1B	MSG-1B	J1074	azenta trial	Monosodium glutamate	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_01_02__merged_azenta	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/merged_MSG-1B_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/merged_MSG-1B_R2_001.fastq.gz	False	Monosodium glutamate	True	True	True	True
MSG-2A	MSG-2A	J1074	azenta trial	Monosodium glutamate	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_01_02__merged_azenta	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/merged_MSG-2A_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/merged_MSG-2A_R2_001.fastq.gz	False	Monosodium glutamate	True	True	True	True
MSG-2B	MSG-2B	J1074	azenta trial	Monosodium glutamate	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_01_02__merged_azenta	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/merged_MSG-2B_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/merged_MSG-2B_R2_001.fastq.gz	False	Monosodium glutamate	True	True	True	True
575-Mannose	575-Mannose	J1074	PRECISE	Mannose	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	rerun	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_aug2023/575_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_aug2023/575_R2_001.fastq.gz	False	control	True	True	True	True
576-Mannose	576-Mannose	J1074	PRECISE	Mannose	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	rerun	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_aug2023/576_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_aug2023/576_R2_001.fastq.gz	False	control	True	True	True	True
579-ISP220C	579-ISP220C	J1074	PRECISE	ISP2 20C	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	rerun	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_aug2023/579_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_aug2023/579_R2_001.fastq.gz	False	control	True	True	True	True
580-ISP220C	580-ISP220C	J1074	PRECISE	ISP2 20C	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	rerun	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_aug2023/580_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_aug2023/580_R2_001.fastq.gz	False	control	True	True	True	True
581-MSGpH5	581-MSGpH5	J1074	PRECISE	MSG pH 5	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	rerun	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_aug2023/581_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_aug2023/581_R2_001.fastq.gz	False	control	True	True	True	True
583-MSGpH5	583-MSGpH5	J1074	PRECISE	MSG pH 5	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	rerun	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_aug2023/583_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_aug2023/583_R2_001.fastq.gz	False	control	True	True	True	True
585-ISP2pH5	585-ISP2pH5	J1074	PRECISE	ISP2 pH 5	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	rerun	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_aug2023/585_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_aug2023/585_R2_001.fastq.gz	False	control	True	True	True	True
586-ISP2pH5	586-ISP2pH5	J1074	PRECISE	ISP2 pH 5	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	rerun	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_aug2023/586_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_aug2023/586_R2_001.fastq.gz	False	control	True	True	True	True
587-MSGpH9	587-MSGpH9	J1074	PRECISE	MSG pH 9	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	rerun	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_aug2023/587_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_aug2023/587_R2_001.fastq.gz	False	control	True	True	True	True
589-MSGpH9	589-MSGpH9	J1074	PRECISE	MSG pH 9	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	rerun	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_aug2023/589_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_aug2023/589_R2_001.fastq.gz	False	control	True	True	True	True
590-ISP2pH9	590-ISP2pH9	J1074	PRECISE	ISP2 pH 9	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	rerun	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_aug2023/590_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_aug2023/590_R2_001.fastq.gz	False	control	True	True	True	True
591-ISP2pH9	591-ISP2pH9	J1074	PRECISE	ISP2 pH 9	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	rerun	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_aug2023/591_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_aug2023/591_R2_001.fastq.gz	False	control	True	True	True	True
594-ISP25NaCl	594-ISP25NaCl	J1074	PRECISE	ISP2 5% NaCl	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	rerun	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_aug2023/594_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_aug2023/594_R2_001.fastq.gz	False	control	True	True	True	True
595-ISP25NaCl	595-ISP25NaCl	J1074	PRECISE	ISP2 5% NaCl	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	rerun	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_aug2023/595_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_aug2023/595_R2_001.fastq.gz	False	control	True	True	True	True
596-MSG5NaCl	596-MSG5NaCl	J1074	PRECISE	MSG 5% NaCl	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	rerun	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_aug2023/596_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_aug2023/596_R2_001.fastq.gz	False	control	True	True	True	True
598-MSG5NaCl	598-MSG5NaCl	J1074	PRECISE	MSG 5% NaCl	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	rerun	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_aug2023/598_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_aug2023/598_R2_001.fastq.gz	False	control	True	True	True	True
599-ISP27NaCl	599-ISP27NaCl	J1074	PRECISE	ISP2 7% NaCl	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	rerun	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_aug2023/599_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_aug2023/599_R2_001.fastq.gz	False	control	True	True	True	True
601-ISP27NaCl	601-ISP27NaCl	J1074	PRECISE	ISP2 7% NaCl	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	rerun	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_aug2023/601_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_aug2023/601_R2_001.fastq.gz	False	control	True	True	True	True
602-Ribose	602-Ribose	J1074	PRECISE	Ribose	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	rerun	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_aug2023/602_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_aug2023/602_R2_001.fastq.gz	False	control	True	True	True	True
604-Ribose	604-Ribose	J1074	PRECISE	Ribose	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	rerun	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_aug2023/604_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_aug2023/604_R2_001.fastq.gz	False	control	True	True	True	True
644-Proline	644-Proline	J1074	PRECISE	Proline	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	rerun	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_aug2023/644_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_aug2023/644_R2_001.fastq.gz	False	control	True	True	True	True
646-Proline	646-Proline	J1074	PRECISE	Proline	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	rerun	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_aug2023/646_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_aug2023/646_R2_001.fastq.gz	False	control	True	True	True	True
650-Glycerol	650-Glycerol	J1074	PRECISE	Glycerol	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	rerun	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_aug2023/650_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_aug2023/650_R2_001.fastq.gz	False	control	True	True	True	True
651-Glycerol	651-Glycerol	J1074	PRECISE	Glycerol	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	rerun	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_aug2023/651_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_aug2023/651_R2_001.fastq.gz	False	control	True	True	True	True
SRR25592590	SRR25592590	Del14-4N24 DnybW PkasOP::nybF::tkt	PRJNA1003853	DnybW PkasOP::nybF::tkt_70h			09/08/2023	public	PRJNA1003853	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592590_R1.fastq.gz	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592590_R2.fastq.gz	False	Del14-4N24_12h	True	True	True	True
SRR25592591	SRR25592591	Del14-4N24 DnybW PkasOP::nybF::tkt	PRJNA1003853	DnybW PkasOP::nybF::tkt_70h			09/08/2023	public	PRJNA1003853	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592591_R1.fastq.gz	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592591_R2.fastq.gz	False	Del14-4N24_12h	True	True	True	True
SRR25592592	SRR25592592	Del14-4N24 DnybW PkasOP::nybF::tkt	PRJNA1003853	DnybW PkasOP::nybF::tkt_70h			09/08/2023	public	PRJNA1003853	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592592_R1.fastq.gz	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592592_R2.fastq.gz	False	Del14-4N24_12h	True	True	True	True
SRR25592593	SRR25592593	Del14-4N24 DnybW PkasOP::nybF::tkt	PRJNA1003853	DnybW PkasOP::nybF::tkt_46h			09/08/2023	public	PRJNA1003853	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592593_R1.fastq.gz	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592593_R2.fastq.gz	False	Del14-4N24_12h	True	True	True	True
SRR25592594	SRR25592594	Del14-4N24 DnybW PkasOP::nybF::tkt	PRJNA1003853	DnybW PkasOP::nybF::tkt_46h			09/08/2023	public	PRJNA1003853	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592594_R1.fastq.gz	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592594_R2.fastq.gz	False	Del14-4N24_12h	True	True	True	True
SRR25592595	SRR25592595	Del14-4N24 DnybW PkasOP::nybF::tkt	PRJNA1003853	DnybW PkasOP::nybF::tkt_46h			09/08/2023	public	PRJNA1003853	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592595_R1.fastq.gz	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592595_R2.fastq.gz	False	Del14-4N24_12h	True	True	True	True
SRR25592596	SRR25592596	Del14-4N24 DnybW PkasOP::nybF::tkt	PRJNA1003853	DnybW PkasOP::nybF::tkt_12h			09/08/2023	public	PRJNA1003853	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592596_R1.fastq.gz	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592596_R2.fastq.gz	False	Del14-4N24_12h	True	True	True	True
SRR25592597	SRR25592597	Del14-4N24 DnybW PkasOP::nybF::tkt	PRJNA1003853	DnybW PkasOP::nybF::tkt_12h			09/08/2023	public	PRJNA1003853	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592597_R1.fastq.gz	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592597_R2.fastq.gz	False	Del14-4N24_12h	True	True	True	True
SRR25592598	SRR25592598	Del14-4N24 DnybW PkasOP::nybF::tkt	PRJNA1003853	DnybW PkasOP::nybF::tkt_12h			09/08/2023	public	PRJNA1003853	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592598_R1.fastq.gz	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592598_R2.fastq.gz	False	Del14-4N24_12h	True	True	True	True
SRR25592599	SRR25592599	Del14-4N24 DnybW PkasOP::nybF::zwf2	PRJNA1003853	DnybW PkasOP::nybF::zwf2_70h			09/08/2023	public	PRJNA1003853	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592599_R1.fastq.gz	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592599_R2.fastq.gz	False	Del14-4N24_12h	True	True	True	True
SRR25592600	SRR25592600	Del14-4N24 DnybW PkasOP::nybF::zwf2	PRJNA1003853	DnybW PkasOP::nybF::zwf2_70h			09/08/2023	public	PRJNA1003853	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592600_R1.fastq.gz	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592600_R2.fastq.gz	False	Del14-4N24_12h	True	True	True	True
SRR25592601	SRR25592601	Del14-4N24 DnybW PkasOP::nybF::zwf2	PRJNA1003853	DnybW PkasOP::nybF::zwf2_70h			09/08/2023	public	PRJNA1003853	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592601_R1.fastq.gz	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592601_R2.fastq.gz	False	Del14-4N24_12h	True	True	True	True
SRR25592602	SRR25592602	Del14-4N24 DnybW PkasOP::nybF::zwf2	PRJNA1003853	DnybW PkasOP::nybF::zwf2_46h			09/08/2023	public	PRJNA1003853	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592602_R1.fastq.gz	/home/nilmat/reads/streptsd/ready/external/del14/SRR25592602_R2.fastq.gz	False	Del14-4N24_12h	True	True	True	True
